イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.40	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒枠を縮小し、AI運用・品質管理の中途へ寄せる / 未来通信システム株式会社: 新卒は絞り、安保・基盤系の中途を増やす / 関東広域ロジスティクス株式会社: 新卒は現場管理候補に絞り、中途(配車DX・保全)増	首都圏業務支援株式会社: 新卒門が狭まり不安増、AI運用スキルで早期格差が出る / 未来通信システム株式会社: 採用枠減で不安増、基盤技能の価値は上昇 / 関東広域ロジスティクス株式会社: 管理候補は機会維持、一般枠は狭まり不安が増す 現役側には 首都圏業務支援株式会社: 現場職に再配置とAI監督化の圧力、外注側は不安定化 / 未来通信システム株式会社: 異動と再学習負荷増、雇用は守られやすい / 関東広域ロジスティクス株式会社: 現場は省人化で配置転換増、技能再訓練の負担が上がる
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが63.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.2。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア、イスラエル	ステップ1: 地政学リスクが63.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.2。	北朝鮮、ロシア、イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
FB001	2	社会反応	生活防衛シフト	0.41	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛27.0、情報過敏19.0、ケア4.9	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE002	2	組織判断	企業・組織の採用育成判断	0.47	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	北関東精密加工株式会社: 新卒は適性厳選で維持、中途は品質・調達を厚めに確保 / 首都圏業務支援株式会社: 新卒は最小枠、AI監督・セキュリティ経験の中途優先 / さくら在宅ケア株式会社: 新卒は最小限、資格者・復職者・中途を優先確保	北関東精密加工株式会社: 採用絞りで不安増、ただし技能×AIの道筋は見えやすくなる / 首都圏業務支援株式会社: 新卒入口が細り不安増、短期資格・実務訓練に集中 / さくら在宅ケア株式会社: 不安下でも安定志向が強まり、資格取得志向が増える 現役側には 北関東精密加工株式会社: 現場は多能工化とAI補助に適応圧、雇用維持で安心は残る / 首都圏業務支援株式会社: 配置転換と監査負荷増、安心感は上がるが余力が削れる / さくら在宅ケア株式会社: 業務逼迫と不安増、AI/ロボで負荷低下なら定着が進む
WE003	2	世界イベント	供給網不安拡大	0.20	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが65.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は48.1。	供給網の不安定化により、物価と企業採用への不安が残る。
WE004	2	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが65.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は48.1。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE005	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが65.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は48.1。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
FB002	3	社会反応	生活防衛シフト	0.47	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛30.1、情報過敏20.7、ケア5.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE003	3	組織判断	企業・組織の採用育成判断	0.46	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	北関東精密加工株式会社: 新卒は技能適性で維持、即戦力中途は品質・保全中心 / 首都圏業務支援株式会社: 新卒最小枠継続、中途は監査・運用設計・セキュ優先 / 未来通信システム株式会社: 新卒は厳選し、安保・供給網強い中途を増やす	北関東精密加工株式会社: 採用は維持も選別強化で不安、技能認定で道筋は見える / 首都圏業務支援株式会社: 新卒枠縮小で不安増、監査運用スキルの需要は増える / 未来通信システム株式会社: 採用絞りと学習機会格差で進路不安が増える 現役側には 北関東精密加工株式会社: 配置転換と再訓練が増え負荷、雇用維持で離職は減る / 首都圏業務支援株式会社: 再学習圧力と業務再設計負荷増、雇用は急減しにくい / 未来通信システム株式会社: 再学習圧力と配置転換が増え、不安が高まる
WE006	3	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は45.2。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
WE007	3	世界イベント	供給網不安拡大の悪化	0.33	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は45.2。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE008	3	世界イベント	地政学SNS不安拡散の悪化	0.26	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は45.2。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE009	3	制度制約	財政制約による支援遅れ	0.21	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は45.2。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。
FB003	4	社会反応	生活防衛シフト	0.59	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛36.8、情報過敏17.7、ケア6.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE004	4	組織判断	企業・組織の採用育成判断	0.38	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒最小枠維持。中途は監査・運用設計・省エネ運用を優先 / 未来通信システム株式会社: 新卒は厳選維持、電力・安保・調達強い中途を厚くする / 北関東精密加工株式会社: 新卒は継続採用し定着重視、中途は保全・省エネ即戦力優先	首都圏業務支援株式会社: 新卒枠が細く不安増。AI監査・運用設計へ志向が集中 / 未来通信システム株式会社: 採用枠は絞り気味だが省電力スキルで成長機会は増える / 北関東精密加工株式会社: 技能×AI/ロボの成長機会は増えるが配属差の不満が出る 現役側には 首都圏業務支援株式会社: 省エネ運用とBCP対応で負荷増。職務転換・再学習圧力が上がる / 未来通信システム株式会社: 電力コスト対応と再学習負荷が増え、転換先は広がる / 北関東精密加工株式会社: 省エネ改善で負荷は下がるが再訓練と現場抵抗が続く
WE010	4	世界イベント	エネルギー価格ショック	0.34	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は42.4。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。
FB004	5	社会反応	生活防衛シフト	0.48	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛30.4、情報過敏20.2、制度要求8.4	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE005	5	組織判断	企業・組織の採用育成判断	0.39	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、調達・安保・電力の中途を増やす / 北関東精密加工株式会社: 新卒は継続・定着重視、購買/保全の中途優先 / 首都圏業務支援株式会社: 新卒は最小枠維持。中途はAI監査・運用設計を優先	未来通信システム株式会社: 計算資源格差で学習機会が割れ、内定不安が増す / 北関東精密加工株式会社: 技能+AI/保全の早期経験は増えるが採用は堅め / 首都圏業務支援株式会社: 新卒枠は細いが、監査・運用系の入口は維持される 現役側には 未来通信システム株式会社: 調達・安保対応と再学習が常態化し負荷が増す / 北関東精密加工株式会社: 調達・段取替え負荷増、配置転換と再訓練圧が上がる / 首都圏業務支援株式会社: 現場は省電力運用と監査手順の再学習負荷が増える
WE011	5	世界イベント	半導体・計算資源制約の悪化	0.35	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 供給網不安が76.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は39.4。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE012	5	世界イベント	供給網不安拡大の悪化	0.57	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 供給網不安が76.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は39.4。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB005	6	社会反応	生活防衛シフト	0.49	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛31.0、情報過敏25.8、学習移行8.1	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB006	6	社会反応	情報過敏の拡大	0.26	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	生活防衛31.0、情報過敏25.8、学習移行8.1	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
