step	country_code	country_name	country_name_en	region	risk_stage	stance	foreign_action	domestic_message	private_constraint	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	japan_impact_summary
1	USA	アメリカ	United States	北米	圧力上昇	同盟負担増とAI優位維持	日へ防衛・対中・AI規制協調を要求	抑止強化と物価対策を同時遂行	中東再燃と選挙で継続性が揺れる	68.0	57.0	54.0	46.0	60.0	52.0	56.0	49.0	安全保障と物価不安が重なり将来設計が慎重化
1	CHN	中国	China	東アジア	境界的圧力	台湾と成長の同時管理	対日経済圧力と周辺海空の示威を継続	外圧下でも雇用と成長を守ると強調	輸出不振と若年雇用で強硬一辺倒不可	72.0	43.0	61.0	58.0	36.0	67.0	63.0	46.0	安保緊張と雇用不安が重なり将来像が曇る
1	JPN	日本	Japan	東アジア	圧力上昇	同盟軸で需給不安を緩和	米国と共同備蓄調整、LNG調達を多元化	停戦でも原油不安は残る、負担軽減を優先	補助金依存と財政規律の両立が難しい	45.0	63.0	44.0	24.0	61.0	46.0	52.0	55.0	物価不安が将来設計を圧迫、支援の継続性が鍵
1	TWN	台湾	Taiwan	東アジア	境界的圧力	半導体死守と抑止強化	米日と共同演習・供給網冗長化を推進	危機管理を強化し経済の連続性を守る	海上封鎖懸念と電力コストが重荷	74.0	61.0	52.0	47.0	56.0	66.0	58.0	54.0	台湾海峡不安と物価観測で将来設計が慎重化
1	KOR	韓国	South Korea	東アジア	圧力上昇	同盟維持と半導体防衛	対米協調で対北抑止、素材規制を調整	安全と雇用を守るため産業・軍備を同時に強化	若者雇用と対北対応で財政が細る	57.0	52.0	54.0	40.0	56.0	58.0	51.0	50.0	近隣緊張と半導体競争が不安を増やし、進路が慎重化
1	PRK	北朝鮮	North Korea	東アジア	間接衝突	抑止誇示で体制統制	短距離発射と暗号資金窃取を継続	敵対包囲に備え結束と動員を要請	経済逼迫と不満抑えが最優先	74.0	18.0	41.0	36.0	22.0	33.0	69.0	52.0	安全不安が周期増幅し将来設計が短期化
1	RUS	ロシア	Russia	ユーラシア	間接衝突	戦時経済を維持し外圧に対抗	資源輸出を武器化し制裁回避を拡大	包囲に耐え勝ち抜くため動員継続	戦費と動員疲弊で統治コスト増	74.0	67.0	58.0	62.0	54.0	61.0	57.0	46.0	資源高と安保不安が将来設計を曇らせる
1	UKR	ウクライナ	Ukraine	欧州	限定戦争	支援確保と戦線維持	欧米支援継続要請と弾薬・防空優先調達	長期戦に備え生活防衛と動員を両立	支援疲れと財政逼迫で継戦余力が細る	63.0	41.0	54.0	37.0	60.0	46.0	52.0	56.0	遠い戦争の長期化が将来不安を底上げ、堅調なら影響は中程度
1	IRN	イラン	Iran	中東	境界的圧力	停戦維持で体制守る	抑止を誇示し制裁回避の対話も探る	停戦は維持、生活防衛を優先する	強硬派と財政難で譲歩余地が狭い	66.0	72.0	54.0	49.0	63.0	58.0	61.0	45.0	原油高と不安定報道で将来像が曇り、挑戦回避が増える
1	ISR	イスラエル	Israel	中東	間接衝突	抑止維持と技術防衛	米国と連携し抑止・対サイバー強化	停戦下でも警戒継続、生活支援は維持	戦費・治安費が重く内政分断も残る	66.0	58.0	46.0	44.0	61.0	54.0	57.0	49.0	中東不安で将来不安が増すが直接影響は限定的
