列名	型	意味	生成方針	UI利用
step	整数	シミュレーションステップ	実行範囲に応じて固定	ステップ再生
agent_id	文字列	エージェントID	固定属性から引く	検索・選択
name	文字列	氏名	固定属性から引く	選択エージェント表示
layer	文字列	若者/家族形成/次世代コホート/補助観測	現在年齢を優先して判定。15-22歳は若者、23-40歳は家族形成、0-14歳は次世代コホート、41歳以上は補助観測	レイヤー表示
evaluation	カテゴリ	良好/中立/注意/危険	本人状態の観測分類。誘導しない	4分類ルーム位置
emotion	カテゴリ	安心/希望/連帯感/平静/不安/怒り/裏切られ感/喪失感/絶望/諦念	主感情。evaluationと整合させる	顔アイコン・ラベル
pathway	0-100	未来経路開放度	本人から見た将来経路の開き具合	座標・詳細
support	0-100	構造支援度	本人から見た制度/家族/職場/地域の支え	座標・詳細
intensity	0-100	感情強度	感情の強さ。強いほど点を大きくする	点サイズ
action	文字列	短い行動ラベル	自然に出た行動を短く記録	詳細カード
action_category	カテゴリ	静観/情報収集/相談/生活防衛/回避・縮小/学習・就活/制度利用/参加・連帯/抗議・発信/ケア継続/撤退	分類用語彙。行動を命令しない	行動集計
action_detail	文字列	具体行動	観測可能な1文。70字以内	次の行動カード
thought	文字列	内心	本音。未整理な不安や怒りを含める	選択詳細
private_talk	文字列	友達/近い人との会話	砕けた口調。弱音・相談・共感	選択詳細
social_post	文字列	SNS発信	短く、見られる前提の言い方	選択詳細
perceived_situation	文字列	本人が知覚した状況	世界状態のうち本人に届いた/届かなかったものを記録	要因表示
reasoning_basis	文字列	反応の根拠	属性・記憶・環境からなぜそうなったか	説明用
memory_update	文字列	次に残る記憶	次ステップへ渡す短い記憶	継続生成
carryover_concern	文字列	持ち越す懸念	次ステップで反応を左右しうる懸念	継続生成
