step	country_code	country_name	country_name_en	region	risk_stage	stance	foreign_action	domestic_message	private_constraint	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	japan_impact_summary
1	USA	アメリカ	United States	北米	圧力上昇	AI覇権維持・停戦安定化を優先	同盟国に防衛負担増と半導体協力を強く要求する	停戦を維持しAI主導で安全と繁栄を確保している	国内分断と財政赤字が長期関与を制約し同盟圧力を強める	55.0	62.0	53.0	50.0	60.0	52.0	57.0	50.0	防衛費増とAI投資要求が若者向け社会支援を圧迫し将来不安を高める
1	CHN	中国	China	東アジア	境界的圧力	戦略的自律強化と内需安定を並行	中東停戦を好機に資源外交を強化し台湾圧力は現状維持	外圧に屈せず技術自立と雇用確保を必ず実現する	不動産不況と輸出管制が国内正統性を静かに侵食する	68.0	44.0	57.0	66.0	41.0	63.0	54.0	44.0	台湾海峡の緊張と半導体規制の連動が若者の就職・進路選択に暗い影を落とす
1	JPN	日本	Japan	東アジア	圧力上昇	財政均衡しながら安全保障強化	米・豪・UAEとエネルギー調達多角化の協議を継続	停戦は維持されているが備えを緩めず生活支援も継続	防衛増税と子育て支援の財源競合が与党内で拮抗中	58.0	68.0	46.0	33.0	63.0	54.0	56.0	50.0	エネルギー高と将来不安が就活・生活設計に薄い影を落とす
1	TWN	台湾	Taiwan	東アジア	境界的圧力	半導体継続と米同盟による抑止堅持	米・日と安保協議を深め、先端半導体の西側向け供給継続を確保する	脅威下でも民主制度と産業を守る。半導体は台湾の抑止の柱である	中国の圧力と経済依存の板挟み。米国の中東関与分散が同盟信頼を揺るがす	72.0	52.0	47.0	63.0	37.0	68.0	58.0	46.0	台湾有事リスクが続く中、半導体依存の就職先サプライチェーン不安が若者の将来設計を揺らす
1	KOR	韓国	South Korea	東アジア	圧力上昇	半導体防衛と同盟確認を同時進行	米国と半導体輸出規制・原油調達の緊急協調を進める	停戦を機に半導体投資と若者雇用確保を加速する	エネルギー高と北の動向次第で景気が下振れる	36.0	29.0	40.0	22.0	21.0	34.0	37.0	61.0	韓国半導体が安定すれば部品供給は維持されるが、若者は競争激化と北朝鮮ニュースで将来不安が続く
1	PRK	北朝鮮	North Korea	東アジア	間接衝突	核抑止誇示で体制正統性を維持	米イラン停戦の隙に弾道ミサイル複数試射を敢行	帝国主義の包囲に断固抵抗し、国家の尊厳を守る	食料・燃料不足が深刻で、内部統制余力が細っている	78.0	11.0	17.0	8.0	37.0	13.0	76.0	40.0	Jアラートが繰り返され、若者の日常安全感と将来設計への不安が周期的に高まる
1	RUS	ロシア	Russia	ユーラシア	間接衝突	体制存続のため戦争継続と資源収益を死守	エネルギー外交で制裁を迂回し非西側との結束を強化	西側の圧力に屈せず国家の誇りと安全保障を守り抜く	戦費と制裁の長期化で財政が圧迫され国内疲弊が進む	72.0	68.0	44.0	28.0	58.0	55.0	63.0	46.0	エネルギー高と地政学緊張が続き若者の将来設計に暗雲をもたらす
1	UKR	ウクライナ	Ukraine	欧州	限定戦争	戦線死守と同盟維持を最優先に設定	NATO・EUに追加支援を求め、対露戦線の正当性を訴える	支援継続で勝利可能と訴え、国民の戦意維持を図る	兵員・財政が限界に近く、米国の関心低下が最大の脅威	64.0	60.0	38.0	18.0	44.0	52.0	55.0	54.0	欧州不安定化がエネルギー高止まりを維持し、若者の経済展望を暗くする
1	IRN	イラン	Iran	中東	境界的圧力	停戦維持で体制正統性を内外に示す	プロキシ網を温存しつつ制裁緩和の交渉余地を探る	敵の攻撃に耐えた。国家の誇りと主権を守り抜いた	経済疲弊と国内不満が蓄積し、再燃すれば体制基盤が揺らぐ	64.0	58.0	36.0	20.0	44.0	52.0	54.0	50.0	停戦で即時不安は下がるがホルムズ再燃が将来設計の底に重くのしかかる
1	ISR	イスラエル	Israel	中東	間接衝突	対イラン抑止と自律防衛を堅持	米国との同盟確認を優先しイランプロキシの動向を継続監視	停戦は脅威の終わりではない。抑止体制を維持し国民を守る	司法改革対立と国内分断が安保予算の合意形成を阻害する	67.0	63.0	38.0	28.0	44.0	54.0	61.0	47.0	中東緊張継続でエネルギー高止まりが続き若者の生活コスト感が上昇
