テンプレートID	流入元コホートID	発火ステップ	相対年	流入時年齢帯	流入先レイヤー	生成ID接頭辞	表示名方針	初期感情初期化	代表重み方針	LLM入力方針	UI方針	備考	流入時代表年齢	流入時相対年	世代系統
GI01	CH01	66	15	15-16	若者前期	YG_CH01	今の0-1歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH01の継承係数から初期化	CH01代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	15年目以降に若者/家族形成枠へ表示可能	40年目には40-41歳として家族形成後半を評価する	15	15	現在子ども世代
GI02	CH02	66	15	17-18	若者後期・家族形成予備期	YG_CH02	今の2-3歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH02の継承係数から初期化	CH02代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	15年目以降に若者/家族形成予備枠へ表示可能	40年目には42-43歳として家族形成後半からケア期へ移る	17	15	現在子ども世代
GI03	CH03	65	10	代表15歳	若者前期	YG_CH03	今の4-5歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH03の継承係数から初期化	CH03代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	10年目以降に若者/家族形成予備枠へ表示可能	15年目には19-20歳、20年目以降は家族形成予備として評価する	15	10	現在子ども世代
GI04	CH04	63	8	代表15歳	若者前期	YG_CH04	今の6-7歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH04の継承係数から初期化	CH04代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	8年目以降に若者/家族形成枠へ表示可能	15年目には21-22歳、20年目以降は家族形成中心期へ入る	15	8	現在子ども世代
GI05	CH05	61	6	代表15歳	若者後期・家族形成予備期	YG_CH05	今の8-9歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH05の継承係数から初期化	CH05代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	6年目以降に若者/家族形成枠へ表示可能	15年目には23-24歳として家族形成入口に入る	15	6	現在子ども世代
GI06	CH06	48	4	代表15歳	若者前期	YG_CH06	今の10-11歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH06の継承係数から初期化	CH06代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	4年目以降に若者/家族形成枠へ表示可能	15年目には25-26歳として家族形成中心期に入る	15	4	現在子ども世代
GI07	CH07	24	2	代表15歳	若者前期	YG_CH07	今の12-13歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH07の継承係数から初期化	CH07代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	2年目以降に若者/家族形成枠へ表示可能	15年目には27-28歳として家族形成中心期に入る	15	2	現在子ども世代
GI08	CH08	12	1	15	若者前期	YG_CH08	今の14歳世代が若者になった姿	前世代の希望/諦念/制度信頼の集約値とCH08の継承係数から初期化	CH08代表重みを基礎に出生・子育て実行可能性で補正	個人名ではなく世代代表として観測条件に入れる	1年目以降に若者/家族形成枠へ表示可能	15年目には29歳として家族形成中心期に入る	15	1	現在子ども世代
GI09	CH01	72	45	代表15歳	若者前期	YG_MEM01	45年目に若者になった制度記憶世代	構造持続介入の成功/不全、親世代の安心/不安、地域制度の残り方を初期条件として観測	CH01代表重みを基礎に、40年目までの子育て実行可能性と制度信頼で補正	個人名ではなく制度記憶を受け取った世代代表として観測条件に入れる	45年目以降に若者/家族形成枠へ表示可能	構造持続制度が文化として残ったかを見る後続世代	15	45	後続制度記憶世代
GI10	CH03	75	60	代表15歳	若者前期	YG_MEM02	60年目に若者になった制度記憶世代	構造持続介入の制度記憶と、長期財政・ケア・住居制度の実装品質を初期条件として観測	CH03代表重みを基礎に、50年目までの出生・ケア持続条件で補正	個人名ではなく制度記憶を受け取った世代代表として観測条件に入れる	60年目以降に若者/家族形成枠へ表示可能	制度が世代交代後も信頼されるかを見る後続世代	15	60	後続制度記憶世代
GI11	CH05	78	75	代表15歳	若者前期	YG_MEM03	75年目に若者になった制度記憶世代	前々世代の制度利用経験、地域の修復経路、AI/ロボ社会での役割記憶を初期条件として観測	CH05代表重みを基礎に、65年目までの家族形成可能性で補正	個人名ではなく制度記憶を受け取った世代代表として観測条件に入れる	75年目以降に若者/家族形成枠へ表示可能	制度疲労と文化化のどちらが勝つかを見る後続世代	15	75	後続制度記憶世代
GI12	CH07	81	90	代表15歳	若者前期	YG_MEM04	90年目に若者になった制度記憶世代	構造持続通貨・ケア報酬・住居支援が当たり前になった社会での未来感情を観測	CH07代表重みを基礎に、80年目までの制度信頼と出生継続で補正	個人名ではなく制度記憶を受け取った世代代表として観測条件に入れる	90年目以降に若者/家族形成枠へ表示可能	100年時点で制度が自然化したかを観測する後続世代	15	90	後続制度記憶世代
