国家コード	国名	英語名	地域	主機能	制度容量	同盟支援	エネルギー安全保障	食料安全保障	計算資源アクセス	半導体重要度	AI自動化影響	国内不安	戦争圧力	財政余力	日本波及係数	初期リスク段階	主な懸念	出典種別	根拠_歴史と国家特性
USA	アメリカ	United States	北米	AI覇権・同盟・金融	78	84	82	86	97	82	82	42	38	92	86	圧力上昇	AI競争と中東・台湾を同時に抱え、同盟国への要求が強まりやすい	統計+専門家判断	冷戦後の同盟網と基軸通貨国としての財政余力、近年の中東・インド太平洋同時関与を反映
CHN	中国	China	東アジア	製造・台湾海峡・大国競争	68	48	68	74	90	72	78	44	52	88	92	境界的圧力	台湾海峡、半導体、輸出管理、国内雇用不安が連動する	統計+専門家判断	改革開放以降の製造大国化と国家主導技術投資、台湾海峡の長期緊張と輸出管理対立を反映
JPN	日本	Japan	東アジア	国内制度・同盟・半導体周辺	83	76	32	42	88	78	77	36	28	74	100	圧力上昇	安全保障費、生活支援、若者政策の財政配分が競合する	統計+仮定	高齢化・低成長下での財政制約、輸入エネルギー依存、日米同盟と国内制度維持の二重制約を反映
TWN	台湾	Taiwan	東アジア	先端半導体・台湾海峡	79	72	46	52	90	100	82	40	62	74	90	境界的圧力	台湾有事と半導体供給の不安が日本の若者にも心理的に波及する	統計+専門家判断	世界最先端半導体供給の集中と海峡有事リスク、対外依存度の高い安全保障構造を反映
KOR	韓国	South Korea	東アジア	半導体・近隣安全保障	80	78	48	60	86	88	80	38	34	76	72	圧力上昇	半導体競争、北朝鮮、若者雇用比較が日本にも影響する	統計+専門家判断	輸出主導経済と半導体比重、北朝鮮抑止体制、若年雇用課題の継続を反映
RUS	ロシア	Russia	ユーラシア	エネルギー・欧州戦争・核抑止	41	28	88	74	52	38	51	56	70	58	64	間接衝突	欧州戦争、制裁、エネルギー供給不安が長期化している	統計+専門家判断	資源輸出依存と長期制裁環境、ウクライナ戦争継続による軍事優先の国家運営を反映
UKR	ウクライナ	Ukraine	欧州	戦争当事国・穀物・支援依存	46	62	46	50	56	28	50	64	78	35	44	限定戦争	戦争継続と支援疲れが欧州と食料市場を通じて波及する	統計+専門家判断	戦時動員体制と外部支援依存、穀物輸出の地政学的重要性を反映
IRN	イラン	Iran	中東	ホルムズ・原油・対米緊張	38	24	78	54	42	24	42	58	76	40	76	間接衝突	米国との停戦は続くが、再燃とホルムズ不安が原油価格に効く	専門家判断+仮定	革命後の制裁環境、代理勢力を伴う地域緊張、ホルムズ海峡依存の原油輸送構造を反映
ISR	イスラエル	Israel	中東	安全保障・技術・中東戦争	70	78	44	50	82	62	78	54	82	70	56	間接衝突	中東緊張と米国関与を通じて地政学不安を増幅しやすい	統計+専門家判断	高い技術力と恒常的安全保障リスク、ガザ・周辺紛争の長期化傾向を反映
SAU	サウジアラビア	Saudi Arabia	中東	原油・エネルギー調整	62	62	96	28	58	22	44	36	34	72	72	圧力上昇	原油価格と中東外交の調整役として日本の生活コストに効く	統計+専門家判断	原油輸出国としての供給調整力、脱石油改革途上での財政バランス戦略を反映
IND	インド	India	南アジア	人口・AI労働市場・成長軸	52	58	49	69	63	44	68	48	42	46	48	圧力上昇	AI労働市場、人口規模、対中関係が世界雇用観を変える	統計+専門家判断	人口大国としての労働供給と高成長期待、戦略的非同盟寄り外交の継続性を反映
EU	欧州連合	European Union	欧州	規制・ウクライナ支援・景気	81	78	56	80	84	64	79	40	30	80	68	圧力上昇	AI規制、ウクライナ支援、景気減速が世界制度観に影響する	統計+専門家判断	統合市場の制度容量と合意形成コスト、エネルギー転換と対露制裁の長期影響を反映
