チャネルID	活動・施策	主に効く維持条件ID	構造側の読み	資源側Mの読み	通貨化する価値	主な副作用リスク	観測指標	備考
SC01	学び直し・移行雇用保証	G01,G03,G04	失職後も学習・実務移行・再就職経路が残る	r_t増加,将来d_t抑制	役割再獲得経路を増やしたnat	訓練だけ増えて雇用に接続しない	学習・就活,制度利用,雇用安定,自己効力感	P06に対応
SC02	社会持続活動の報酬化	G03,G04,G05,G06,G07	ケア・地域維持・教育接続・防災・制度更新が価値循環に入る	M増加,r_t増加	市場外の構造維持活動を経済経路に変えたnat	参加できる人だけ得をする逆進性	nat獲得機会,構造支援度,制度信頼,ケア継続	P03/P10に対応
SC03	地域ケア就労の賃金底上げ	G02,G03,G06	ケアを担う人が貧困・時間枯渇へ落ちにくくなる	M増加,将来d_t抑制	ケア持続と家族形成経路を残したnat	財源圧,他職種との不公平感	時間余力,家計余力,ケア継続,制度支援信頼	P05に対応
SC04	住居安定パッケージ	G02,G03,G05	転居・保証・家賃負担で未来経路が閉じるのを防ぐ	M増加,将来d_t抑制	住居制約で失われる経路を防いだnat	対象外層の不公平感,家賃上昇	住居安定,子育て実行可能性,制度信頼	P01に対応
SC05	学校・企業・地域循環プロジェクト	G01,G04,G07,G08	学びが仕事・地域課題・役割へ接続する	r_t増加,将来d_t抑制	若者の未来経路と組織の育成経路を増やしたnat	形式参加だけ増える,地方差が広がる	未来経路開放度,自己効力感,若手育成方針	P09に対応
SC06	若年メンタルヘルス即時アクセス	G03,G05	離脱前に相談・治療・学校/職場復帰へつながる	r_t増加	撤退固定を防ぎ修復経路へ戻したnat	医療供給不足,支援の質のばらつき	相談,制度利用,撤退,メンタル負荷	P08に対応
SC07	AI導入と若手育成の両立	G01,G04,G08	AIで仕事を消すだけでなく人の学習・配置転換を残す	将来d_t抑制,M増加	自動化ショック下で役割経路を温存したnat	短期利益圧で育成が削られる	組織のAI導入方針,若手育成方針,雇用維持姿勢	組織LLMで観測
SC08	介護ロボット・在宅支援普及	G02,G03,G06	家族ケア負担を下げ、就労・子育て・休息経路を残す	M増加,r_t増加	ケア責任で失われる時間経路を回復したnat	導入格差,機器不信,現場負荷	時間余力,ケア継続,制度支援信頼,メンタル負荷	P11に対応
SC09	地方分散インフラ投資	G01,G02,G06,G07	医療・交通・通信が残り地方で暮らす選択肢が続く	M増加,将来d_t抑制	地域で生活・学習・ケアできる経路を残したnat	投資地域の偏り,維持費負担	地域区分別の未来経路,住居安定,制度信頼	P07に対応
SC10	制度利用の申請負荷低下	G03,G05	困った人が制度へ到達でき、失敗体験を減らす	r_t増加	修復経路への到達可能性を増やしたnat	不正利用批判,窓口負荷	制度利用,制度信頼,過去政策成功/失敗,裏切られ感	横断施策として扱う
SC11	家族介護の所得保障と代替ケア	G03,G06	家族介護を担っても就労・学習・休息・健康の経路を失わない	M増加,r_t増加	介護者と家系の維持可能領域を残したnat	家族責任の強化,女性や若者への負荷固定	時間余力,ケア継続,メンタル負荷,制度支援信頼	家族内無償負担を社会維持活動として扱う
SC12	出産・子育ての所得保障と実費支援	G02,G06,G07	望む人が所得・住居・医療・時間・保育を通って子どもを迎えられる	M増加,将来d_t抑制	次世代継承と家族形成の実行可能性を増やしたnat	出生圧力,対象外層の不公平感,家族形成しない自由の侵害	子育て実行可能性,次世代信頼,家計余力,時間余力,制度支援信頼	出生数ではなく選択肢の実効性を支える
