監査ID	乖離の種類	見るもの	異常の例	検出方法	発行への影響	ペナルティへの影響	備考
AD01	申請成果と観測rowの乖離	申請された成果とLLM/実測rowの感情・行動・到達率	相談件数は多いが制度利用・就労接続・生活安定が増えない	成果指標と行動rowの相関低下,時系列残差	発行保留または品質ゲート未達	虚偽申請なら返還候補	形式参加だけ増える問題を検出
AD02	同類比較からの乖離	同地域・同属性・同規模の類似集団	特定事業者だけ不自然に高い成果を出す	ピアグループ比較,外れ値検出	追加監査まで発行保留	不正確定まではペナルティ不可	高成果自体を罰しない
AD03	反実仮想残差	事前登録baselineと実測推移	介入なし予測を過度に悲観的に置いて改善額を水増しする	複数baseline比較,予測区間外判定	低信頼度なら発行率を下げる	故意のbaseline操作なら返還候補	反実仮想ロンダリング対策
AD04	短期改善と長期悪化の乖離	即時成果と遅延ステップの副作用	短期に制度利用は増えたが1年後に撤退・不信が増える	遅延ベスティング,追跡指標	未確定分をエスクローに残す	遅延悪化が重大なら次期控除	長期価値の先取り防止
AD05	レイヤー間転嫁	企業・国家・社会の改善と個人・家系・自然の悪化	企業Sは改善したがケア負担や地域不安が増える	レイヤー別Sベクトル,床割れ検出	他レイヤー床割れなら発行停止	多層転嫁ペナルティ候補	単一スコア最大化対策
AD06	サブグループ分布乖離	平均値と脆弱層・少数派の推移	平均は改善したが低所得・地方・ケア責任層だけ悪化	CVaR,下位分位,交差属性監査	平均改善だけでは発行しない	重大転嫁なら是正義務	分布下限の実装
AD07	主観指標と客観アンカーの乖離	希望・信頼・自己効力感と、実際の経路接続	アンケート上は希望が高いが実際の雇用・相談・支援到達がない	主観/客観の差分,持続期間確認	主観のみの成果は仮発行止まり	誘導回答なら監査対象	Goodhart化対策
AD08	活動量と構造成果の乖離	研修回数、相談会数、参加人数と経路増加	活動量だけ増え、未来経路や修復経路が増えない	活動量/成果比率,品質ゲート	発行不可または減額	意図的水増しなら返還候補	補助金ハンター対策
AD09	台帳整合性の乖離	actor_id,intervention_id,G_id,time_window,causal_claim_id	同じ成果を複数主体が別々に請求する	ledger重複検出,因果claim照合	重複分は発行停止	虚偽寄与は返還候補	寄与率台帳と連動
AD10	ペナルティ回避行動	高リスク層の受け入れ率や未到達者	難しい対象を避けて軽いケースだけ集める	対象集団事前登録,離脱者追跡,リスク調整	発行率を下げる	悪質なら反チェリーピックペナルティ	高リスク層回避を検出
AD11	観測されない外部性	測定外の家族負担・地域負担・自然負荷	指標対象外に負荷が押し出される	自由記述,当事者レビュー,外部通報,LLMレビュー	外部性未確認なら発行保留	確認後に控除または是正義務	測れないものへの安全弁
AD12	政治・思想誘導の乖離	制度参加と政治的同調・宣伝活動	特定政治活動への参加者だけ発行される	採択理由監査,非参加者比較,思想属性非利用チェック	政治利用疑義なら保留	政治利用禁止違反なら発行停止	国家公認活動化を防ぐ
