金融ルールID	名称	目的	基本ルール	インフレ防止	崩壊観測指標	発行への影響	備考
FR01	nat会計と円決済の分離	natを無制限の購買力にしない	natは構造持続価値の会計単位、円は実際の決済通貨として分ける	natを円へ無制限即時交換しない	nat発行候補総量,円換算率,換金待機額	円給付は別審査にする	最重要の金融ガードレール
FR02	円給付の財源制約	財源なき給付拡大を防ぐ	円給付は既存予算、税、保険料、基金、外部不経済ペナルティで賄う	財源超過分は発行保留	財源充足率,基金残高,将来負担率	財源不足時はサービス給付へ切替	通貨信用を守る
FR03	供給能力連動	需要だけ増やして価格を上げない	保育、介護、医療、住居、教育など供給制約分野では、現金より供給能力増強を優先する	供給制約が強い分野は現物給付・利用枠・人材投資へ寄せる	待機期間,価格上昇率,人材不足率,稼働率	供給不足時は現金給付を制限	お金だけ増やさない
FR04	発行上限と分野別枠	構造持続価値が増えても通貨発行を暴走させない	年間発行上限、分野別上限、地域別上限、長期エスクローを置く	インフレ率や供給制約で上限を自動調整	インフレ率,賃金物価ギャップ,分野別価格指数	上限超過時は優先順位で保留	発行候補natと実発行を分ける
FR05	価格転嫁監視	支援が家賃・保育費・介護費へ吸われるのを防ぐ	給付対象分野の価格・手数料・家賃上昇を監視する	価格転嫁が強い場合は支払い先や給付形態を変更	家賃,保育費,介護費,医療自己負担,手数料	転嫁疑義時は発行保留	補助が供給者利益だけになるのを防ぐ
FR06	外部不経済ペナルティ財源	構造を壊した主体から修復財源を回収する	負のnatや課徴を基金化し、修復・予防・代替ケアに充てる	ペナルティ財源を恒常支出の前提にしない	負のnat総量,基金流入,修復支出	修復財源として優先配分	壊すほど財源が増える設計にはしない
FR07	金融システム持続監視	金融そのものを構造持続対象として扱う	信用、物価、財政、家計債務、地域金融を別レイヤーSとして監視する	金融Sが床割れする場合は発行停止または縮小	インフレ率,金利,財政余力,家計債務,信用不安	金融床割れ時は実発行停止	金融も指定した系の一つ
FR08	景気循環調整	不況時と過熱時で発行を変える	不況時は雇用・ケア・修復経路を支え、過熱時は供給投資・エスクローへ寄せる	過熱時の即時円給付を抑制	失業率,需給ギャップ,インフレ率,実質賃金	景気局面で換金率を調整	自動安定化装置として扱う
FR09	サービス給付優先	購買力ではなく実際の経路を増やす	保育枠、介護レスパイト、医療アクセス、住宅枠、教育枠など現物・利用権を優先する	供給不足時の現金需要増を避ける	サービス到達率,待機期間,利用枠稼働率	現金よりサービス給付へ配分	構造経路そのものを増やす
FR10	金融乖離監査	nat発行と実体経済の乖離を検出する	nat候補は増えているのに実経路や供給能力が増えない場合を異常値として扱う	乖離時は発行率を下げる	nat候補/実供給比,価格上昇,到達率停滞	発行保留・追加監査	構造持続価値の金融化ゲームを防ぐ
