step	scenario_mode	event_id	event_type	event_name	start_step	end_step	intensity_0to1	probability_0to1	target	direction	description
4	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
5	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
6	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
6	structure_hope_family_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
7	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
7	structure_hope_family_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
8	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
8	structure_hope_family_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
8	structure_hope_family_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
8	structure_hope_family_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
8	structure_hope_family_package	HP01	政策	若者希望経路保証	8	83	0.84	1.00	15-22歳・進学就職移行層	希望↑ 自己効力感↑ 将来予見性↑	学び、初職、地域プロジェクト、AI活用訓練を接続し、若者が5年後の役割を複数持てるようにする。特定進路の強制ではなく選べる経路を増やす。
8	structure_hope_family_package	HP08	政策	自動着金・仮払いセーフティ	8	83	0.86	1.00	若者・低中所得層・家族形成層	制度信頼↑ 不安↓ 生活防衛↓	申請から支給までの空白を減らすため、資格確認前の仮払い、あとから精算、異議申立を組み合わせる。支援が「いつか届く」ではなく「今つながる」経験になるようにする。
9	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
9	structure_hope_family_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
9	structure_hope_family_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
9	structure_hope_family_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
9	structure_hope_family_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
9	structure_hope_family_package	HP01	政策	若者希望経路保証	8	83	0.84	1.00	15-22歳・進学就職移行層	希望↑ 自己効力感↑ 将来予見性↑	学び、初職、地域プロジェクト、AI活用訓練を接続し、若者が5年後の役割を複数持てるようにする。特定進路の強制ではなく選べる経路を増やす。
9	structure_hope_family_package	HP08	政策	自動着金・仮払いセーフティ	8	83	0.86	1.00	若者・低中所得層・家族形成層	制度信頼↑ 不安↓ 生活防衛↓	申請から支給までの空白を減らすため、資格確認前の仮払い、あとから精算、異議申立を組み合わせる。支援が「いつか届く」ではなく「今つながる」経験になるようにする。
10	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
10	structure_hope_family_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
10	structure_hope_family_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
10	structure_hope_family_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
10	structure_hope_family_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
10	structure_hope_family_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
10	structure_hope_family_package	HP01	政策	若者希望経路保証	8	83	0.84	1.00	15-22歳・進学就職移行層	希望↑ 自己効力感↑ 将来予見性↑	学び、初職、地域プロジェクト、AI活用訓練を接続し、若者が5年後の役割を複数持てるようにする。特定進路の強制ではなく選べる経路を増やす。
10	structure_hope_family_package	HP08	政策	自動着金・仮払いセーフティ	8	83	0.86	1.00	若者・低中所得層・家族形成層	制度信頼↑ 不安↓ 生活防衛↓	申請から支給までの空白を減らすため、資格確認前の仮払い、あとから精算、異議申立を組み合わせる。支援が「いつか届く」ではなく「今つながる」経験になるようにする。
10	structure_hope_family_package	HP09	政策	若者住居・ケア即時枠	10	83	0.82	1.00	15-29歳・ケア責任層・無業非正規層	安心↑ 撤退圧↓ 希望↑	家を出られない、ケアで動けない、住居費で進路を選べない層に、短期住居、代替ケア、地域伴走を即時枠として用意し、社会からの逃避や長期離脱を防ぐ。
11	structure_hope_family_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
11	structure_hope_family_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
11	structure_hope_family_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
11	structure_hope_family_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
11	structure_hope_family_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
11	structure_hope_family_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
11	structure_hope_family_package	HP01	政策	若者希望経路保証	8	83	0.84	1.00	15-22歳・進学就職移行層	希望↑ 自己効力感↑ 将来予見性↑	学び、初職、地域プロジェクト、AI活用訓練を接続し、若者が5年後の役割を複数持てるようにする。特定進路の強制ではなく選べる経路を増やす。
11	structure_hope_family_package	HP08	政策	自動着金・仮払いセーフティ	8	83	0.86	1.00	若者・低中所得層・家族形成層	制度信頼↑ 不安↓ 生活防衛↓	申請から支給までの空白を減らすため、資格確認前の仮払い、あとから精算、異議申立を組み合わせる。支援が「いつか届く」ではなく「今つながる」経験になるようにする。
