step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
1	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	地政学・物価・供給不安が同時進行し、生活防衛層の不安と制度不信が先行。	2	0.50	財政不安	生活防衛の一本化と手続き摩擦の削減
2	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	手続き負担は下げられるが、情報過多と対象外感で公平感欠損が固定化しやすい。	2	0.20	対象外反発	絞り込み説明+伴走補完
3	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	手続き簡素化は進む一方、副作用圧と公平感欠損が高く、説明不足が政策疲労と対象外反発を増幅。	2	0.25	政策疲労	増やさず整える（説明×順序×現場負荷）
4	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	副作用圧が極端に高く、窓口強化が情報過多と対象外反発を招き政策疲労が固定化。	2	0.14	政策疲労	施策を増やさず束ねて摩擦低減
5	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策は増えたが手続き・待ち・対象外感が残り、公平感欠損と政策疲労が固定化。	2	0.70	政策疲労	増やさず効率化＋公平感補強
6	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策は積み上がったが副作用警戒100で、窓口負荷と対象外反発が政策疲労・公平感欠損を増幅。	2	0.45	政策疲労	増やさず負荷を下げる
7	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策が積み上がり情報過多と手続き負担が限界。対象外反発と現場疲弊で二極化が進行。	2	0.60	政策疲労	増やさず自動化と雇用防波堤
8	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	施策追加で副作用が飽和。SNS不安下で対象外反発と手続き疲れが増幅し二極化が進行。	2	0.20	政策疲労	増やさず束ねて誤解を減らす
9	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安で誤解が拡散し、制度迷子と対象外反発が政策疲労・公平感欠損を増幅。	2	0.20	政策疲労	導線一本化＋誤解沈静の即応
10	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安が誤解を増幅し、対象外反発と政策疲労が固定化。導線は増やさず精度を上げる局面。	2	0.36	政策疲労	導線固定・誤解即応
11	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安増幅で誤解が拡散し、対象外反発と手続き疲れが政策疲労を押し上げている	2	0.35	政策疲労	増やさず統合・分散
12	POLICY_PLANNER	policy_search_no_sustain	gpt-5.2	SNS不安増幅下で説明施策が増え、対象外反発と政策疲労が高止まり。導線の一本化と“例外時の逃げ道”明確化が不足。	2	0.25	政策疲労	増やさず統合＋例外導線
