step	country_code	country_name	country_name_en	region	risk_stage	stance	foreign_action	domestic_message	private_constraint	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	japan_impact_summary
1	USA	アメリカ	United States	北米	圧力上昇	同盟負担の上積み要求	日本へ防衛・AI協力の拡大を要請	抑止と雇用を守る投資だと説明	分断と物価で強硬一辺倒は不可	63.0	58.0	54.0	46.0	57.0	52.0	56.0	47.0	負担増の空気が将来不安を押し上げるが、協業枠が希望も残す
1	CHN	中国	China	東アジア	境界的圧力	台湾周辺で圧力維持	台湾周辺で示威、対日技術・観光を選別	外圧に備えつつ雇用と安定を守る	輸出減速と若年失業、強硬と景気が両立困難	74.0	46.0	63.0	58.0	39.0	71.0	66.0	54.0	対中依存の不確実性が増え将来設計が慎重化
1	JPN	日本	Japan	東アジア	圧力上昇	生活防衛と抑止の同時運用	同盟連携で抑止維持、原油・LNG調達先分散	停戦でも不安定、生活と雇用を守る施策を継続	財政配分が逼迫、若者支援と防衛が競合	58.0	64.0	52.0	36.0	63.0	49.0	57.0	46.0	物価と将来不安が増すが、継続支援が見えれば悲観は限定
1	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止強化と供給維持	米日と抑止連携、半導体輸出の安定運用	危機管理を強化し、経済と雇用を守る	エネルギー脆弱で物価高が政権負担	68.0	57.0	46.0	40.0	52.0	62.0	54.0	49.0	台湾海峡不安が進路観を曇らせ、安定志向が強まる
1	KOR	韓国	South Korea	東アジア	圧力上昇	同盟維持と半導体主導を優先	米韓協調で抑止強化、調達先を分散	安全保障と物価対策を同時に進める	資源脆弱で物価高が政権支持を削る	58.0	61.0	54.0	46.0	57.0	52.0	56.0	49.0	東アジア緊張と物価連動で将来不安がじわり増す
1	PRK	北朝鮮	North Korea	東アジア	間接衝突	抑止示威で交渉余地確保	短距離発射で警戒維持、対話窓口も残す	敵対環境下でも体制と生活を守る	制裁・食料難で示威が内政補填化	78.0	34.0	57.0	46.0	44.0	41.0	72.0	52.0	安全不安が進路選択を冷やし、SNSで悲観が増幅
1	RUS	ロシア	Russia	ユーラシア	間接衝突	制裁耐久と資源収入維持	資源輸出を再配分し制裁回避網を強化	対外圧力に耐え生活を守ると強調	戦費と制裁で投資不足、長期疲弊	71.0	63.0	52.0	57.0	46.0	58.0	54.0	49.0	エネ高と安全保障不安で将来設計が慎重化
1	UKR	ウクライナ	Ukraine	欧州	限定戦争	前線維持と支援確保	欧米に軍事・財政支援の継続を要請	長期戦でも国家機能を守り抜く	人員・財政逼迫、支援疲れが怖い	67.0	46.0	52.0	40.0	60.0	54.0	49.0	47.0	物価と不確実性が残り、将来像が描きにくい
1	IRN	イラン	Iran	中東	境界的圧力	停戦維持と対外抑止を両立	航路威嚇を抑えつつ制裁緩和を探る	停戦を維持し生活防衛を優先する	体制不安と軍事圧力で妥協が難しい	66.0	72.0	44.0	46.0	52.0	58.0	61.0	49.0	原油不安とSNS緊張で将来像が曇りやすい
1	ISR	イスラエル	Israel	中東	間接衝突	抑止強化と技術防衛を優先	米国と停戦監視を強化しサイバー抑止	停戦は脆弱。安全と経済を同時に守る	長期動員で社会疲弊、財政と分断が限界	64.0	57.0	46.0	35.0	61.0	52.0	54.0	47.0	原油不安と紛争報道で将来像が曇り、挑戦意欲が揺れる
1	SAU	サウジアラビア	Saudi Arabia	中東	圧力上昇	供給安定で価格高を抑制	OPEC+協調で増産余地を示し市場鎮静	安定供給と改革投資を両立する	地域再燃と財政規律で増産幅が限定	46.0	64.0	32.0	18.0	41.0	38.0	44.0	57.0	ガソリン・物価不安が就職観を冷やすが急落は避ける
1	EU	欧州連合	European Union	欧州	圧力上昇	規制と支援で秩序維持	対露抑止を維持しつつ原油・LNG調達を分散	安全保障と生活防衛を両立し景気下支えする	加盟国間の負担配分と選挙で合意が揺れる	54.0	58.0	49.0	38.0	52.0	46.0	45.0	56.0	物価不安と就職不確実性が残り将来観が揺れやすい
2	USA	アメリカ	United States	北米	圧力上昇	計算資源同盟で囲い込み	対日で計算資源・半導体枠組みを優先配分	AI主導権と雇用防衛のため同盟投資	物価と分断で負担転嫁は限界	64.0	57.0	60.0	55.0	60.0	56.0	62.0	45.0	就職観が揺れ不安増、だが協業枠は一部の希望
2	CHN	中国	China	東アジア	境界的圧力	技術主権優先で圧力調整	輸出管理を強化し対日協力を選別	技術と雇用を守るため管理を強める	成長鈍化で強硬一辺倒は危険	76.0	49.0	69.0	63.0	41.0	75.0	70.0	50.0	計算資源と雇用不安が重なり将来像が曇る
2	JPN	日本	Japan	東アジア	圧力上昇	投資誘致と生活防衛を併走	米欧と計算資源確保・同盟調整を強化	AI競争に備え、雇用移行と物価対策を継続	人材育成は時間がかかり財政配分が硬直	60.0	62.0	66.0	44.0	67.0	52.0	63.0	45.0	進路不安が増すが、学び直しと所得支援が見えれば悲観は鈍る
2	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止継続と供給信頼確保	米日欧と輸出管理協議、供給継続を優先	安全と産業を守り、雇用の急変に備える	電力脆弱と対外規制で自由度が狭い	70.0	58.0	52.0	48.0	55.0	66.0	59.0	46.0	AI競争と海峡不安が重なり、将来像が短期志向へ傾く
2	KOR	韓国	South Korea	東アジア	圧力上昇	AI競争で産業防衛を強化	対米協調で計算資源確保、対中依存を抑制	成長投資と雇用支援で競争に勝つ	若者雇用不安と産業補助が財政を圧迫	60.0	57.0	63.0	58.0	61.0	55.0	64.0	47.0	計算資源争奪と雇用不安が波及し将来像が曇る
2	PRK	北朝鮮	North Korea	東アジア	間接衝突	示威継続で譲歩引き出し	発射訓練を誇示、対米非公式接触も維持	強硬な外圧下でも体制と生活を守る	制裁下で外貨・食料逼迫、示威が内政向け	82.0	36.0	61.0	50.0	46.0	44.0	75.0	49.0	安全不安とAI雇用不安が重なり、将来像が曇る
2	RUS	ロシア	Russia	ユーラシア	間接衝突	資源収入維持とAI自立	制裁回避網を維持し計算資源の迂回調達	技術自立と生活防衛で長期戦に備える	先端計算資源が不足、戦費で民生投資が圧迫	73.0	66.0	55.0	64.0	50.0	61.0	58.0	47.0	AI競争で雇用と学び直し不安が増え、将来像が揺れる
2	UKR	ウクライナ	Ukraine	欧州	限定戦争	支援維持と復興筋の確保	欧米に防空・弾薬と復興資金を優先要請	前線を守りつつ生活と復興の基盤をつなぐ	支援疲れと財政難、若者流出が痛い	68.0	47.0	56.0	44.0	62.0	55.0	52.0	45.0	AI競争で雇用観が揺れ、物価不安と重なり将来像が霞む
2	IRN	イラン	Iran	中東	境界的圧力	停戦維持と制裁緩和探求	航路威嚇は抑制、対米間接交渉継続	生活防衛と技術自立へ資源を集中	財政逼迫と体制不安で譲歩が難しい	64.0	70.0	46.0	52.0	55.0	60.0	63.0	47.0	資源高とAI雇用不安が重なり将来設計が縮む
2	ISR	イスラエル	Israel	中東	間接衝突	抑止維持とAI優先配分	米とAI連携、輸出管理とサイバー強化	停戦は脆弱。AIと防衛で国力を守る	動員疲弊と分断。人材流出と財政が痛い	63.0	56.0	49.0	43.0	62.0	53.0	57.0	46.0	AI競争で雇用不安と計算資源不信が増え、将来像が揺れる
2	SAU	サウジアラビア	Saudi Arabia	中東	圧力上昇	資金誘致と市場安定を優先	OPEC+協調維持、AI投資で対外提携拡大	改革と雇用創出で生活安定を守る	治安配慮と価格変動で舵取りが難しい	48.0	61.0	38.0	22.0	44.0	40.0	46.0	56.0	物価不安は続くが急騰回避で就職不安は拡大しにくい
2	EU	欧州連合	European Union	欧州	圧力上昇	規制と投資で競争対応	AI規制を整備し供給網と計算資源を確保	雇用転換と成長投資で生活不安を抑える	加盟国の温度差と企業反発で実装が遅れがち	55.0	52.0	57.0	46.0	56.0	53.0	58.0	54.0	AI雇用不安がSNSで増幅し将来像が揺れやすい
3	USA	アメリカ	United States	北米	境界的圧力	台湾抑止と供給網を同盟で固める	対日へ半導体・AI枠組み遵守と防衛協力を要求	台湾抑止と供給安定で米国の雇用を守る	国内分断と物価で長期負担は続かない	72.0	60.0	66.0	68.0	62.0	74.0	71.0	41.0	半導体不安で将来設計が縮み、選別圧と不安が増える
