国家コード	国名	国家構造の存続	領域安全保障	政権制度正統性	経済再生産	戦略的自律性	同盟抑止信頼	社会安定	技術主権	構造持続余力	目的関数メモ	重み出典種別	重み根拠_歴史と国家特性
USA	アメリカ	1.00	0.82	0.74	0.82	0.90	0.92	0.68	0.95	0.82	AI覇権と同盟信頼を維持しつつ、国内分断と生活費不満を抑える。	専門家判断+仮定	第二次大戦後の同盟秩序維持と技術覇権競争の歴史を重視
CHN	中国	1.00	0.92	0.94	0.88	0.95	0.42	0.90	0.92	0.78	体制正統性・台湾・雇用安定が強く結合する。	専門家判断+仮定	体制安定と領域課題を最優先する一貫性、製造主導成長の歴史を反映
JPN	日本	1.00	0.76	0.82	0.86	0.68	0.78	0.82	0.86	0.92	若者支援、防衛費、生活費、技術基盤の配分が中核制約。	統計+専門家判断	長期低成長・少子高齢化と同盟依存の安全保障構造を反映
TWN	台湾	1.00	0.98	0.82	0.84	0.92	0.88	0.78	0.98	0.80	領域安全保障と半導体継続がほぼ存続条件。	専門家判断+仮定	海峡緊張の常在化と半導体中核産業の地政学的重要性を反映
KOR	韓国	1.00	0.84	0.80	0.84	0.72	0.82	0.78	0.90	0.82	半導体・北朝鮮・若者雇用比較が国内安定に効く。	専門家判断+仮定	安全保障二正面性と輸出主導産業構造の履歴を反映
RUS	ロシア	1.00	0.94	0.90	0.74	0.86	0.36	0.74	0.54	0.58	戦争継続能力と体制正統性が優先され、経済再生産が制裁で制約される。	専門家判断+仮定	安全保障優先の国家戦略と資源輸出依存の長期傾向を反映
UKR	ウクライナ	1.00	1.00	0.86	0.66	0.74	0.92	0.82	0.48	0.62	領域安全保障と支援継続が国家存続そのものになる。	専門家判断+仮定	戦時国家として領域防衛最優先となる近年の現実を反映
IRN	イラン	1.00	0.86	0.92	0.64	0.88	0.32	0.72	0.46	0.52	体制維持と対米抑止が優先され、国内若者不満が制約になる。	専門家判断+仮定	革命後の体制維持論理と制裁下での対外抑止戦略を反映
ISR	イスラエル	1.00	0.98	0.78	0.76	0.84	0.90	0.72	0.84	0.68	安全保障優先が非常に強く、米国支援と国内分断が制約。	専門家判断+仮定	国家安全保障優先の歴史的文脈と技術国家戦略を反映
SAU	サウジアラビア	1.00	0.70	0.84	0.92	0.76	0.68	0.82	0.46	0.76	原油収益、体制安定、改革路線の両立が目的。	専門家判断+仮定	原油収益国家としての政策裁量と改革過程の二重目標を反映
IND	インド	1.00	0.76	0.80	0.92	0.86	0.58	0.82	0.68	0.78	成長・人口雇用・戦略自律が強く、AI労働市場が重要。	専門家判断+仮定	人口ボーナス期の雇用課題と戦略的自律外交の継続を反映
EU	欧州連合	1.00	0.68	0.78	0.84	0.72	0.82	0.82	0.82	0.88	制度正統性、規制、ウクライナ支援、景気維持の合意形成が制約。	専門家判断+仮定	統合体としての合意形成コストと規制主導の制度運営を反映
