イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文	planner_action	delivery_channel	budget_cost_0to1	implementation_lag_steps	duration_steps	expected_effect	side_effect_watchpoints	adjustment_reason
PL001_01	2	政策探索	生活防衛支援の優先順位ガイド	0.50	物価・雇用不安が高い層（非正規、単身、子育て前の若年）	制度理解↑ 申請迷子↓ 政策疲労↓ 将来不安↓	LLM政策探索/通常政策のみ	日本	地政学・物価・供給不安が同時進行し、生活防衛層の不安と制度不信が先行。	何が使えるのか分からず、結局何も申請できない気がする。	sequence	スマホ通知	0.08	1	6	制度理解↑ 申請迷子↓ 政策疲労↓ 将来不安↓	対象外感、情報過多による離脱	施策を増やす前に、既存支援の順序と選び方を統一し摩擦を減らす必要があるため。
PL001_02	2	政策探索	自治体ワンストップ簡素化（共通書類・一度の本人確認）	0.65	低所得〜中間層の勤労世帯・単身者（手続き負担が高い層）	申請コスト↓ 受給漏れ↓ 制度信頼↑ 政策疲労↓	LLM政策探索/通常政策のみ	日本	地政学・物価・供給不安が同時進行し、生活防衛層の不安と制度不信が先行。	支援があっても手続きが面倒で、働きながらだと無理だと思う。	simplify	自治体	0.42	1	8	申請コスト↓ 受給漏れ↓ 制度信頼↑ 政策疲労↓	自治体現場の負荷集中、デジタル弱者の取り残し	地政学・物価局面では給付/控除の追加より、到達率を上げて不満と疲労を抑える効果が大きい。
PL002_01	2	政策探索	優先順位ガイドの分岐整理（3択）	0.52	注意層（非正規・単身・若年勤労）と中間層の制度迷子	情報過多↓ 申請迷子↓ 政策疲労↓ 制度信頼↑	LLM政策探索/通常政策のみ	日本	手続き負担は下げられるが、情報過多と対象外感で公平感欠損が固定化しやすい。	何が自分に効く支援かが毎回変わって見えて、探すだけで消耗している。	amend	スマホ通知	0.06	0	6	情報過多↓ 申請迷子↓ 政策疲労↓ 制度信頼↑	対象外感、情報過多による離脱、政策疲労	既存のガイドを増量せず、入口を3分岐に絞って離脱と反発を抑えるため。
PL002_02	3	政策探索	ワンストップの対面・電話伴走枠（自治体内で再配分）	0.58	デジタル弱者、手続き不慣れ、同居支援者がいない単身者	取り残し↓ 受給漏れ↓ 不公平感↓ 政策疲労↓	LLM政策探索/通常政策のみ	日本	手続き負担は下げられるが、情報過多と対象外感で公平感欠損が固定化しやすい。	オンライン前提だと、結局できる人だけ得してる気がして納得できない。	compensate	自治体	0.14	1	8	取り残し↓ 受給漏れ↓ 不公平感↓ 政策疲労↓	自治体現場の負荷集中、待ち時間増、財政不安	簡素化の副作用（現場負荷・取り残し）が対象外反発を増幅するため、伴走枠を先に当てて二極化を抑える。
PL003_01	3	政策探索	対象外理由と優先順位の一枚説明（反発低減版）	0.42	注意層（非正規・単身・若年勤労）と中間層の制度迷子・対象外反発層	制度信頼↑ 公平感↑ 政策疲労↓ 申請迷子↓	LLM政策探索/通常政策のみ	日本	手続き簡素化は進む一方、副作用圧と公平感欠損が高く、説明不足が政策疲労と対象外反発を増幅。	制度が多すぎて、自分が対象かどうか確認するだけで疲れてしまう。	explain	自治体	0.07	0	6	制度信頼↑ 公平感↑ 政策疲労↓ 申請迷子↓	対象外感、情報過多、政策疲労	副作用圧が非常に高く、追加給付より『なぜそうなるか』の納得不足が不公平感と離脱を招いているため、説明を最短距離で再設計する。
PL003_02	4	政策探索	ワンストップ窓口のトリアージ＋予約・待ち時間可視化	0.50	対面・電話伴走が必要な層（デジタル弱者、独居、手続き不慣れ）と窓口混雑で諦める層	受給漏れ↓ 不公平感↓ 政策疲労↓ 自治体現場負荷の平準化↑	LLM政策探索/通常政策のみ	日本	手続き簡素化は進む一方、副作用圧と公平感欠損が高く、説明不足が政策疲労と対象外反発を増幅。	窓口に行っても長時間待つなら結局あきらめるし、助けが必要な人ほど後回しに見える。	amend	相談窓口	0.18	1	8	受給漏れ↓ 不公平感↓ 政策疲労↓ 自治体現場負荷の平準化↑	待ち時間増、自治体負荷集中、対象外反発	対面伴走枠の追加は有効だが、現場負荷集中と待ち時間が副作用になりやすい。『来た順』から『困難度順』へ運用を修正し、諦め離脱と不公平感を同時に下げる。
PL004_01	4	政策探索	新規周知の一時停止＋情報導線の統合	0.45	注意層（非正規・単身・若年勤労）と中間層の制度迷子・情報過多層	情報過多↓ 政策疲労↓ 申請迷子↓ 制度信頼↑	LLM政策探索/通常政策のみ	日本	副作用圧が極端に高く、窓口強化が情報過多と対象外反発を招き政策疲労が固定化。	制度が増えすぎて自分が何を使えるか分からず、調べるだけで疲れて諦めた。	pause	自治体	0.05	0	2	情報過多↓ 政策疲労↓ 申請迷子↓ 制度信頼↑	支援の見落とし、対象外感	副作用圧が95.6で、追加施策よりも“出し方”の摩擦が主因。短期に露出を絞り導線を一本化して離脱を止める。
PL004_02	5	政策探索	対象外反発を抑える財政不安ケア説明（支出上限・優先順の明示）	0.55	対象外反発層、勤労中間層、窓口待ちで不公平感が強まる層	公平感↑ 制度信頼↑ 財政不安↓ 政策疲労↓	LLM政策探索/通常政策のみ	日本	副作用圧が極端に高く、窓口強化が情報過多と対象外反発を招き政策疲労が固定化。	結局またバラマキで将来ツケになる気がして、制度の話自体を信じにくい。	amend	スマホ通知	0.09	1	6	公平感↑ 制度信頼↑ 財政不安↓ 政策疲労↓	強制感、情報過多、対象外感	公平感欠損54.2と財政圧62.4が同時進行。『なぜ自分は対象外か』『どこまで出すのか』を短文化し、反発と不安の増幅を止める。
PL005_01	6	政策探索	ワンストップの優先トリアージ統一（生活費ショック即判定）	0.60	窓口・電話に来る生活費急変層（単身・非正規・独居高齢・子育て手前）	申請迷子↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 自治体負荷の平準化↑	LLM政策探索/通常政策のみ	日本	施策は増えたが手続き・待ち・対象外感が残り、公平感欠損と政策疲労が固定化。	物価と雇用が不安なのに、どこに何を出せばいいか分からず疲れる。	amend	自治体	0.22	1	8	申請迷子↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 自治体負荷の平準化↑	待ち時間増、対象外感、自治体負荷集中	供給網不安で生活費ショックが増える局面は、入口の判定を揃えて離脱と不公平感を抑えるのが最短。
PL005_02	7	政策探索	時限・上限付き光熱費の税控除（中間層も対象を明示）	0.50	給付対象外になりやすい勤労中間層（単身・共働き含む）	公平感↑ 制度信頼↑ 財政不安↓（上限明示） 政策疲労↓（対象外反発の沈静化）	LLM政策探索/通常政策のみ	日本	施策は増えたが手続き・待ち・対象外感が残り、公平感欠損と政策疲労が固定化。	頑張って働いても支援は自分に来ない感じが強く、制度への納得が崩れている。	add	職場	0.48	2	6	公平感↑ 制度信頼↑ 財政不安↓（上限明示） 政策疲労↓（対象外反発の沈静化）	財政不安、対象外感、手続き疲れ	公平感欠損55.9の主因である『対象外反発』を、給付増ではなく上限付き控除で吸収し説明と整合させる。
PL006_01	7	政策探索	事前自己判定＋予約分散（3分診断）	0.58	窓口混雑で諦める層、単身・非正規・若年勤労、デジタル弱者は電話代替	申請迷子↓ 待ち時間↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 自治体負荷平準化↑	LLM政策探索/通常政策のみ	日本	施策は積み上がったが副作用警戒100で、窓口負荷と対象外反発が政策疲労・公平感欠損を増幅。	支援はあるはずなのに、どれに当てはまるか分からず並ぶだけで消耗している。	amend	自治体	0.16	1	8	申請迷子↓ 待ち時間↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 自治体負荷平準化↑	デジタル弱者の取り残し、対象外感、情報過多、待ち時間の再増	トリアージ統一だけでは来訪集中が残り、副作用と疲労が高止まりするため入口を分散する。
PL006_02	7	政策探索	窓口ピーク時の処理応援枠（通常補助）	0.62	混雑自治体の窓口・コールセンター、待ちで離脱する生活費急変層	待ち時間↓ 受給漏れ↓ 不公平感↓ 政策疲労↓ 現場燃え尽き↓	LLM政策探索/通常政策のみ	日本	施策は積み上がったが副作用警戒100で、窓口負荷と対象外反発が政策疲労・公平感欠損を増幅。	助けを求めてもつながらない・待たされる体験が、制度への不信と諦めに変わっている。	compensate	自治体	0.29	1	6	待ち時間↓ 受給漏れ↓ 不公平感↓ 政策疲労↓ 現場燃え尽き↓	財政不安の再燃、一時要員の質ばらつき、対象外反発（処理が速い/遅い差）	供給網不安で生活費ショックが増える局面では、現場処理能力がボトルネック化して疲労と反発を増やすため。
PL007_01	8	政策探索	光熱費税控除の自動適用・手続き最小化	0.62	勤労中間層（単身・共働き含む）＋申請疲れ層	手続き疲れ↓ 政策疲労↓ 公平感↑ 制度信頼↑ 対象外反発↓	LLM政策探索/通常政策のみ	日本	施策が積み上がり情報過多と手続き負担が限界。対象外反発と現場疲弊で二極化が進行。	支援はあるらしいが手続きが多すぎて、結局自分は置いていかれる気がする。	amend	職場	0.18	1	6	手続き疲れ↓ 政策疲労↓ 公平感↑ 制度信頼↑ 対象外反発↓	財政不安、対象外感、制度の複雑化誤認	既に税控除を打つ局面だが、申告・証憑負担が残ると疲労と不公平感が増幅するため。
PL007_02	9	政策探索	供給網ショック時の雇用・シフト維持の通常補助（時限）	0.58	シフト減の影響を受けやすい非正規・若年勤労者が多い事業所（小売・外食・物流等）	雇用不安↓ 生活防衛↑ 将来経路↑ 二極化↓ 生活費急変の窓口流入↓	LLM政策探索/通常政策のみ	日本	施策が積み上がり情報過多と手続き負担が限界。対象外反発と現場疲弊で二極化が進行。	物価も不安なのにシフトが減り、将来の計画が立てられない。	compensate	企業	0.42	2	5	雇用不安↓ 生活防衛↑ 将来経路↑ 二極化↓ 生活費急変の窓口流入↓	モラルハザード、財政不安、対象外反発（業種差）	供給網不安が高く、家計側の制度追加より先に所得の急落を抑えないと危険層が増えるため。
PL008_01	9	政策探索	支援導線の一本化優先（予約→自己判定→窓口の順に統合）	0.62	注意層（単身・非正規・若年勤労）と中間層の制度迷子、窓口混雑で離脱する層	情報過多↓ 申請迷子↓ 政策疲労↓ 受給漏れ↓ 制度信頼↑ 公平感↑	LLM政策探索/通常政策のみ	日本	施策追加で副作用が飽和。SNS不安下で対象外反発と手続き疲れが増幅し二極化が進行。	支援が多すぎて結局どれも自分は対象外だと思い、調べる前に諦めた。	sequence	自治体	0.12	1	6	情報過多↓ 申請迷子↓ 政策疲労↓ 受給漏れ↓ 制度信頼↑ 公平感↑	対象外感、情報過多の再燃、自治体負荷集中、待ち時間の再増	副作用圧が最大のため新規追加より、既存施策の順序と入口を統合して摩擦と誤解を先に削る。
PL008_02	8	政策探索	対象外・上限・期限の共通説明テンプレ（1枚＋30秒版）	0.55	対象外反発層、勤労中間層、SNSで不安が増幅して制度不信に傾く層	公平感↑ 制度信頼↑ 財政不安↓ 政策疲労↓ 対象外反発↓	LLM政策探索/通常政策のみ	日本	施策追加で副作用が飽和。SNS不安下で対象外反発と手続き疲れが増幅し二極化が進行。	ルールが曖昧に見えて不公平だと感じ、怒りと不安だけが残る。	explain	スマホ通知	0.08	0	6	公平感↑ 制度信頼↑ 財政不安↓ 政策疲労↓ 対象外反発↓	強制感、情報過多、炎上誘発（言い回し）	SNS不安増幅下では『なぜ自分が対象外か』『いつ終わるか』『上限があるか』の欠落が反発を増やすため、説明の標準化を最優先で補強する。
PL009_01	10	政策探索	導線一本化の先行実装（予約→自己判定→窓口）	0.60	注意層（単身・非正規・若年勤労）と中間層の制度迷子、窓口混雑で離脱する層	申請迷子↓ 情報過多↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 制度信頼↑	LLM政策探索/通常政策のみ	日本	SNS不安で誤解が拡散し、制度迷子と対象外反発が政策疲労・公平感欠損を増幅。	制度が多すぎて自分が対象か分からず、時間だけ奪われる不安が強い。	sequence	自治体	0.12	1	8	申請迷子↓ 情報過多↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 制度信頼↑	対象外感、自治体負荷集中、待ち時間の再増、政策疲労	施策追加より体験の摩擦を先に減らし、離脱と不公平感の連鎖を止める必要があるため。
PL009_02	9	政策探索	対象外・上限・期限の共通説明＋SNS誤解の30秒即応	0.55	対象外反発層、勤労中間層、SNSで不安が増幅して制度不信に傾く層	制度信頼↑ 公平感↑ 財政不安↓ 対象外反発↓ 政策疲労↓	LLM政策探索/通常政策のみ	日本	SNS不安で誤解が拡散し、制度迷子と対象外反発が政策疲労・公平感欠損を増幅。	SNSで『どうせ自分は対象外』が回ってきて、将来の計画を立てる気力が削られる。	explain	スマホ通知	0.08	0	6	制度信頼↑ 公平感↑ 財政不安↓ 対象外反発↓ 政策疲労↓	炎上誘発（言い回し）、情報過多、強制感、対象外感	SNS増幅局面では内容追加より誤解コストを下げる方が副作用（疲労・反発）の抑制に効くため。
PL010_01	11	政策探索	30秒即応の誤解訂正を運用化（炎上予防版）	0.62	SNS不安増幅層・対象外反発層・勤労中間層	制度信頼↑ 公平感↑ 財政不安↓ 政策疲労↓ 情報過多↓	LLM政策探索/通常政策のみ	日本	SNS不安が誤解を増幅し、対象外反発と政策疲労が固定化。導線は増やさず精度を上げる局面。	何が本当で自分が対象か分からず、調べるほど疲れて不信になる。	amend	スマホ通知	0.14	1	6	制度信頼↑ 公平感↑ 財政不安↓ 政策疲労↓ 情報過多↓	炎上誘発（言い回し）、強制感、情報過多、対象外感	SNS不安が支援情報を“負担”に変えており、追加施策より誤解訂正の品質改善が効くため。
PL010_02	11	政策探索	自己判定→予約→窓口の分岐を1画面に圧縮（電話同等）	0.58	制度迷子・申請疲れ層（単身/非正規/若年勤労/デジタル弱者）	申請迷子↓ 受給漏れ↓ 待ち時間↓ 政策疲労↓ 公平感↑	LLM政策探索/通常政策のみ	日本	SNS不安が誤解を増幅し、対象外反発と政策疲労が固定化。導線は増やさず精度を上げる局面。	手続きが多段で途中で詰まり、結局あきらめる人が出ている。	simplify	自治体	0.22	1	8	申請迷子↓ 受給漏れ↓ 待ち時間↓ 政策疲労↓ 公平感↑	自治体負荷集中、待ち時間の再増、対象外感	疲労と副作用が上限に達しているため、導線一本化を“最短手数”に圧縮して負担を減らす。
PL011_01	11	政策探索	新規メニュー追加の一時停止＋統合ロードマップ提示	0.58	制度不信・対象外反発・申請疲れ層（注意層＋勤労中間層）	情報過多↓ 政策疲労↓ 制度信頼↑ 公平感↑	LLM政策探索/通常政策のみ	日本	SNS不安増幅で誤解が拡散し、対象外反発と手続き疲れが政策疲労を押し上げている	制度が次々変わって追えず、結局自分は対象外だと思ってしまう	pause	スマホ通知	0.06	0	6	情報過多↓ 政策疲労↓ 制度信頼↑ 公平感↑	見捨てられ感、炎上誘発（言い回し）、対象外感	施策増が『また増えた/自分は外れた』を生み、SNS不安と疲労を増幅しているため、追加より統合の予告で心理コストを下げる
PL011_02	12	政策探索	窓口負荷の地域分散（コールバック＋分散受付）	0.62	窓口混雑で離脱する生活費急変層（単身・非正規・独居高齢・若年勤労・デジタル弱者）	待ち時間↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 現場燃え尽き↓	LLM政策探索/通常政策のみ	日本	SNS不安増幅で誤解が拡散し、対象外反発と手続き疲れが政策疲労を押し上げている	困っても電話も窓口もつながらず、あきらめるしかない感じがする	localize	自治体	0.29	1	8	待ち時間↓ 受給漏れ↓ 政策疲労↓ 公平感↑ 現場燃え尽き↓	自治体間の対応差、対象外感（混雑差）、品質ばらつき	導線圧縮は有効だが、集中が続くと待ち時間再増→離脱→不公平感が再燃するため、受付と折返しでピークを平準化する
PL012_01	13	政策探索	統合ロードマップの“緊急時だけ例外導線”を明文化	0.58	生活費急変・離脱寸前層（単身/非正規/独居高齢/若年勤労）＋対象外反発層	政策疲労↓ 見捨てられ感↓ 制度信頼↑ 受給漏れ↓ 公平感↑	LLM政策探索/通常政策のみ	日本	SNS不安増幅下で説明施策が増え、対象外反発と政策疲労が高止まり。導線の一本化と“例外時の逃げ道”明確化が不足。	制度が多すぎて、困った時にどれを使えばいいか一瞬で分からない。	amend	自治体	0.07	1	8	政策疲労↓ 見捨てられ感↓ 制度信頼↑ 受給漏れ↓ 公平感↑	例外窓口の混雑再燃、強制感（“統合に従え”の印象）、情報過多（例外条件が長い）	新規メニュー停止は有効だが、緊急時の逃げ道が曖昧だと炎上・不信に直結するため、例外条件と最短手順を先に固定する。
