元イベントID	変換後イベントID	変換後区分	変換後イベント名	開始ステップ	終了ステップ	強度_0to1	発生確率_0to1	対象	主な影響方向	説明	適用シナリオ
F001	NF001	ショック	AGI知的労働代替の本格化	25	62	0.82	0.85	全体	雇用安定↓ 希望↓ 制度信頼↓	知的定型業務の代替が進み、初期キャリアの入口が縮小する。	中位
F002	NF002	ショック	AI生産性偏在と超過利潤集中	25	65	0.76	0.80	全体	格差↑ 財政圧力↑ 制度信頼↓	生産性利得が集中し、再分配圧力が増す。	中位
F003	NF003	ショック	教育制度の半自律化	49	66	0.68	0.72	在学層・若年就業	学習機会格差↑ 希望± 制度信頼±	教育移行の成否で格差が拡大/縮小する。	中位
F004	NF004	ショック	中間スキル職の空洞化	13	66	0.74	0.78	現役中心	雇用安定↓ 生活コスト圧力↑	中間職が減少し二極化が進む。	中位
F005	NF005	ショック	自律兵器・認知戦の常態化	62	67	0.72	0.65	全体	地政学リスク↑ SNS不安↑ 制度信頼↓	平時から情報戦が国内感情を攪乱する。	中位
F006	NF006	ショック	半導体・計算資源ブロック化	49	67	0.75	0.70	全体	計算資源制約↑ 供給網不安↑	技術アクセス格差が拡大する。	中位
F007	NF007	ショック	グリーン転換コストの逆進化	37	66	0.67	0.76	低所得層中心	生活コスト圧力↑ 財政圧力↑	脱炭素移行コストが先行転嫁される。	中位
F008	NF008	ショック	気候災害の多発同時化	65	68	0.83	0.74	地方中心	住居安定↓ 供給網不安↑ 財政圧力↑	複数地域同時災害で複合負荷が増える。	中位
F009	NF009	ショック	水・食料の地政学化	49	67	0.69	0.62	全体	生活コスト圧力↑ 供給網不安↑	水と穀物供給が外交カード化する。	中位
F010	NF010	ショック	少子高齢化の臨界域到達（日本）	25	66	0.78	0.90	全体	財政圧力↑ ケア負荷↑ 制度信頼↓	支える側人口減とケア需要増が同時進行する。	中位
F011	NF011	ショック	介護インフラの慢性不足	63	68	0.77	0.84	ケア責任層・地方	雇用安定↓ ケア負荷↑ 制度信頼↓	介護人材不足で離職連鎖が進む。	中位
F012	NF012	ショック	都市居住コストの高止まり	49	66	0.70	0.82	都市部	住居安定↓ 子ども意向↓	住居費上昇が婚姻・出生の実行を阻害する。	中位
F013	NF013	ショック	地方インフラ維持の分岐	62	67	0.66	0.68	地方層	住居安定± 制度信頼± 希望±	維持成功地域と縮退地域の差が拡大する。	中位
F014	NF014	ショック	デジタル監視と自由の再調整	13	65	0.58	0.73	全体	制度信頼± 社会分断↑	監視受容と自由のトレードオフが強まる。	中位
F015	NF015	ショック	生成AIによる情報真偽コスト上昇	49	67	0.71	0.88	SNS高感受層	希望↓ 制度信頼↓ SNS不安↑	真偽判定負担が個人へ転嫁される。	中位
F016	NF016	ショック	汎用ロボティクス普及	65	69	0.72	0.66	現役中心	雇用安定↓ 生活コスト圧力↑	身体労働自動化で雇用再編が進む。	中位
F017	NF017	ショック	ベーシックサービス国家への移行圧力	66	70	0.62	0.58	全体	制度信頼± 財政圧力± 希望±	現金給付から基礎サービス提供へ政策軸が移る。	中位
F018	NF018	ショック	国際課税再編とデジタル課税強化	49	68	0.55	0.61	全体	財政圧力± 制度信頼±	国内財源の再配分余地が変化する。	中位
F019	NF019	ショック	医療・生殖技術アクセス格差の拡大	63	67	0.64	0.57	子育て検討層	子ども意向↓ 制度信頼↓	生殖・予防医療アクセスが所得層で分断される。	中位
F020	NF020	ショック	長寿化と就労寿命延長の制度摩擦	65	68	0.67	0.75	現役世代	ケア負荷↑ 雇用不確実性↑	就労寿命延長と家族ケア負担が衝突する。	中位
F021	NF021	ショック	国家間AIガバナンス枠組み形成	66	71	0.50	0.52	全体	制度信頼↑ 地政学リスク↓	遅れて規範が形成され暴走が部分抑制される。	中位
F022	NF022	ショック	供給網の地域内完結化	67	70	0.60	0.64	全体	供給網不安↓ 生活コスト圧力↑	安全保障優先の地域内SC化が進む。	中位
F023	NF023	ショック	社会的孤立の常態化と関係資本劣化	49	66	0.69	0.79	全体	希望↓ 制度信頼↓ ケア負荷↑	単身化とオンライン偏重で相互扶助資本が減衰。	中位
F024	NF024	ショック	出生観の二極化	65	68	0.63	0.71	若者・現役	子ども意向± 制度信頼↓ 社会分断↑	子どもを持つ層/持たない層の価値観分断が固定化。	中位
F025	NF025	ショック	東アジア安全保障の新均衡形成	67	72	0.57	0.49	東アジア圏	地政学リスク↓ 財政圧力↑	対立後に限定均衡へ移行するが費用は残る。	中位
F026	NF026	ショック	気候移住圧力と都市再編	68	74	0.68	0.60	都市部・地方	住居安定↓ 雇用不確実性↑ 制度信頼↓	移住圧力が住宅・雇用を再編する。	中位
F027	NF027	ショック	教育-労働-福祉の統合プラットフォーム化	69	75	0.54	0.48	全体	制度信頼↑ 希望↑ 雇用不確実性↓	学習履歴と社会保障連結で再分配実装効率が上がる。	中位
F028	NF028	ショック	資源循環経済の主流化	70	76	0.49	0.46	全体	エネルギー価格圧力↓ 生活コスト圧力↓	一次資源依存の低下でショック感度が下がる。	中位
F029	NF029	ショック	人間の役割再定義（ケア・創造・共同体）	71	78	0.65	0.42	全体	希望↑ 制度信頼↑ 子ども意向↑	社会持続価値中心へ評価軸が移る。	中位
F030	NF030	ショック	文明OS型制度の定着または失敗	72	83	0.90	0.40	全体	制度信頼± 財政圧力± 希望± 子ども意向±	制度が自己修復可能かで長期安定が分岐する。	中位
