step	country_code	country_name	country_name_en	region	risk_stage	stance	foreign_action	domestic_message	private_constraint	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	japan_impact_summary
1	USA	アメリカ	United States	北米	圧力上昇	同盟強化とAI主導維持	同盟国に防衛協力と対中輸出規制を要請	雇用と安全を守るため同盟を主導する	対外負担増は物価不満と分断を刺激	66.0	57.0	53.0	61.0	49.0	58.0	56.0	54.0	将来不安と競争感が増すが、成長分野の道筋は残る
1	CHN	中国	China	東アジア	境界的圧力	海峡圧力維持と経済下支え	台湾周辺で示威継続、輸出管理に対抗調達	外圧に備えつつ雇用と成長を守る	不動産・雇用不安で強硬一辺倒は困難	74.0	46.0	57.0	39.0	41.0	63.0	58.0	45.0	地政学と景気の揺れで将来不安が増え、挑戦意欲が萎む
1	JPN	日本	Japan	東アジア	圧力上昇	生活防衛と抑止の同時運用	同盟調整と原油代替調達を加速	不安定化に備え家計支援と備蓄強化	財政配分が硬直、若者策が後回し	54.0	63.0	46.0	29.0	57.0	44.0	52.0	50.0	物価不安が先行し将来像が曇るが支援が見えれば悲観は固定化しない
1	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止強化と供給継続	米日と抑止協調、半導体供給計画を更新	緊張は続くが産業と生活を守り抜く	エネルギー脆弱でコスト増、世論分断も懸念	68.0	61.0	52.0	38.0	56.0	63.0	58.0	50.0	海峡不安と物価観測で将来不安が増すが供給継続なら下げ止まる
1	KOR	韓国	South Korea	東アジア	圧力上昇	同盟軸で半導体防衛	米国協調で対北抑止と輸出管理を調整	安全保障と雇用を両立し物価高に対処	対中依存と世論分断で政策余地が狭い	64.0	57.0	53.0	46.0	60.0	55.0	58.0	47.0	半導体・安保不安が就職観を冷やし将来期待が揺れる
1	PRK	北朝鮮	North Korea	東アジア	間接衝突	抑止誇示で体制安定	短距離ミサイル示威と瀬取り維持	敵対勢力に屈せず自力更生を貫く	制裁と食料難で不満抑圧が必要	78.0	34.0	41.0	29.0	22.0	36.0	72.0	44.0	安全不安が就活・将来像を曇らせSNSで増幅しやすい
1	RUS	ロシア	Russia	ユーラシア	間接衝突	制裁耐性と戦時継続	資源輸出維持、制裁回避網を拡大	包囲下でも雇用と物価を守る	戦費と動員疲労で統治コスト増	74.0	67.0	54.0	61.0	52.0	63.0	58.0	44.0	物価と将来不安が長引き、挑戦より守りが優勢
1	UKR	ウクライナ	Ukraine	欧州	限定戦争	支援維持と防衛最優先	支援国へ追加防空・財政支援を要請	長期戦でも国家機能と生活を守る	兵力・財政が限界で支援疲れが怖い	60.0	46.0	44.0	28.0	52.0	34.0	41.0	56.0	遠因の不確実性が残り将来像が曇るが直撃は小
1	IRN	イラン	Iran	中東	境界的圧力	停戦維持と抑止誇示	代理勢力抑制を示唆し航路不安で交渉	停戦は守るが主権と抑止は譲らない	制裁と不満で強硬姿勢が必要	66.0	74.0	53.0	47.0	57.0	61.0	64.0	46.0	原油高不安が将来設計を曇らせ節約志向が強まる
1	ISR	イスラエル	Israel	中東	境界的圧力	抑止維持と内政安定優先	米国協調で抑止継続、サイバー警戒強化	停戦下でも警戒継続、生活面は下支え	予備役負担と政権対立で統治が脆い	64.0	58.0	52.0	46.0	57.0	54.0	56.0	47.0	中東不安と原油高で先行き不安、将来設計が保守化
1	SAU	サウジアラビア	Saudi Arabia	中東	圧力上昇	価格安定と体制安定を優先	OPEC+調整と米国へ停戦維持を働きかけ	市場安定で歳入確保、改革と雇用を守る	治安と改革資金が必要、急減産は困難	57.0	68.0	46.0	38.0	44.0	49.0	53.0	52.0	光熱費高止まり観測で不安増、進路の保守化が進む
