イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.47	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒はAI・サイバー安保スキル前提で厳選、中途はセキュリティ人材を優先増員 / 東北ライフライン保守株式会社: 新卒は地元・Uターン向け訴求を強化、中途採用枠を拡大して即戦力確保を優先 / 東京湾岸工科専門学校: 教員採用は抑制し、AI・ロボ実習に知見ある非常勤を限定活用する	未来通信システム株式会社: AI・サイバー以外の新卒は選別不安が高まるが安保系人材は逆に引き合い増 / 東北ライフライン保守株式会社: 戦争リスクと不安増幅でインフラ系公共性職場の安定志向回帰が若干高まる / 東京湾岸工科専門学校: 将来予見性の低下により進路選択が防衛的になり、安定志向の学生が増加する 現役側には 未来通信システム株式会社: 国内インフラ投資拡大で現役エンジニア需要は安定するが再学習圧力は継続 / 東北ライフライン保守株式会社: インフラ重要性の社会認識が上昇する一方、労働強度増加と担当範囲拡大で疲弊リスクが増大 / 東京湾岸工科専門学校: 教員は急激な社会変化に対応した授業再設計を迫られ、研修負担が増大する
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが59.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は49.5。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア、イスラエル	ステップ1: 地政学リスクが59.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は49.5。	北朝鮮、ロシア、イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
FB001	2	社会反応	情報過敏の拡大	0.65	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏47.1、ケア9.6、学習移行3.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE002	2	組織判断	企業・組織の採用育成判断	0.45	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: AI・サイバー安保スキル厳選を継続しつつ、採用ブランドに「育成保証」を明示し就活生不安を和らげる / 関東広域ロジスティクス株式会社: 新卒は管理・ロボ監督候補に絞り継続。SNS上の採用ブランド棄損リスクを意識し求人情報の透明化を優先する / 首都圏業務支援株式会社: 新卒採用をさらに絞り、SNS不安下でも即戦力AI運用中途人材の確保を維持する	未来通信システム株式会社: 「AI代替不安」がSNS経由で増幅し、IT系就活生の選社基準に雇用安定・育成保証が急浮上する / 関東広域ロジスティクス株式会社: SNS不安で将来不安が高まる若手に対しキャリアパス明示が離職抑制に効く一方AI代替不安は残存する / 首都圏業務支援株式会社: BPO業界のAI代替不安がSNSで増幅され、新卒就職希望者が減少し採用難が加速する 現役側には 未来通信システム株式会社: SNS不安が社内に波及し、中堅IT職の転職検討が増加するリスクが顕在化する / 関東広域ロジスティクス株式会社: 現場ドライバーはSNS上の待遇不満情報に触れやすく離職検討が静かに増加するリスクがある / 首都圏業務支援株式会社: 業務AI化加速とSNS不安が重なり、非正規層を中心に雇用不安と離職衝動が高まる
WE003	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: SNS不安増幅が61.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.6。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
FB002	3	社会反応	情報過敏の拡大	0.60	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏44.3、ケア9.5、生活防衛7.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE003	3	組織判断	企業・組織の採用育成判断	0.47	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 安保・サイバー人材の厳選を強化し、国産AI内製要員の中途採用を加速する / 北関東精密加工株式会社: 地元新卒優先維持。供給網採算悪化懸念で採用数を微圧縮、中途は精密加工即戦力に絞る / さくら在宅ケア株式会社: 地政学不安で離職加速懸念。安定雇用を求める転職者を狙い、資格者・復職者探索を強化する。新卒は最小維持。	未来通信システム株式会社: 安保・国産AI特化の選別が強まり、汎用IT採用枠が実質縮小する / 北関東精密加工株式会社: SNS不安の日常侵食で地方製造業への就職回避が強まり採用難が構造化 / さくら在宅ケア株式会社: SNS地政学不安が若手の逃避行動を加速。介護現場での早期離職リスクが前ステップより高まる。 現役側には 未来通信システム株式会社: 中国系技術スキル保有者に再配置圧力。安保クリアランス要件が新たな壁になる / 北関東精密加工株式会社: 地政学リスクと供給網不安で受注不安定化の懸念が広がり一時帰休リスクが意識される / さくら在宅ケア株式会社: 地政学不安が日常判断に侵入し、現役介護職の精神的疲弊が深まる。定着維持がより困難になる。
WE004	3	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	中国	ステップ3: 地政学リスクが68.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は42.1。	中国の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE005	3	世界イベント	供給網不安拡大	0.20	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが68.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は42.1。	供給網の不安定化により、物価と企業採用への不安が残る。
WE006	3	世界イベント	地政学SNS不安拡散の悪化	0.29	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが68.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は42.1。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB003	4	社会反応	情報過敏の拡大	0.47	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏37.0、撤退11.6、生活防衛10.2	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE004	4	組織判断	企業・組織の採用育成判断	0.52	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 安保・サイバー人材の厳選継続。SNS不安増幅下で「AI整理」印象を避けるため採用広報を慎重設計する / 北関東精密加工株式会社: 地元新卒優先を維持。エネルギー高騰・供給網悪化でコスト圧迫が増し採用数を再微圧縮。中途は精密加工即戦力に限定継続。 / 首都圏業務支援株式会社: 新卒採用停止を継続。SNS不安でBPO志望者が減り、選別余地そのものが消える	未来通信システム株式会社: AI雇用不安(WE009)とSNS増幅下で入社後の職務展望が見えにくく、優秀層の内定辞退リスクが上昇する / 北関東精密加工株式会社: SNS不安と財政支援遅れが重なり地方製造業への就職意欲がさらに低下。地元採用の難化が一段と構造化するリスク。 / 首都圏業務支援株式会社: BPO離職・未応募が加速し、AIに置換された経験を持つ若手が無業化リスクに直面する 現役側には 未来通信システム株式会社: SNS不安増幅により現役IT職の将来不安が高まり、社内転換研修への参加意欲と離職率に同時影響が出る / 北関東精密加工株式会社: エネルギー高・物価高で生活コスト圧迫が続き、賃上げ余力(40)の低さへの不満が現場で顕在化しやすくなる。 / 首都圏業務支援株式会社: 非正規中堅層がSNS不安と雇用縮小の双方に挟まれ、将来見通しが最も悪化する
WE007	4	世界イベント	エネルギー価格ショック	0.24	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: SNS不安増幅が72.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.2。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。
WE008	4	世界イベント	供給網不安拡大の悪化	0.34	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: SNS不安増幅が72.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.2。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE009	4	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: SNS不安増幅が72.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.2。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE010	4	世界イベント	地政学SNS不安拡散の悪化	0.42	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: SNS不安増幅が72.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.2。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE011	4	制度制約	財政制約による支援遅れ	0.33	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ4: SNS不安増幅が72.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.2。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。
FB004	5	社会反応	情報過敏の拡大	0.49	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏38.1、生活防衛9.7、ケア9.6	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE005	5	組織判断	企業・組織の採用育成判断	0.51	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	北関東精密加工株式会社: 地元新卒優先継続。SNS不安75.5拡大で若者の地元定着意欲低下懸念増大、採用数を再微圧縮。中途は精密加工即戦力に限定。 / 首都圏業務支援株式会社: 新卒採用停止継続。間接衝突拡大でBPO志望者がさらに減少し選別余地がゼロに近づく / 関東広域ロジスティクス株式会社: SNS不安が採用市場を直撃。地域安定雇用を前面に訴求しながら管理・ロボ監督候補の新卒採用を継続	北関東精密加工株式会社: SNS不安×AI雇用不安悪化で地方製造業への入社意欲がさらに低下。技能可視化策がなければ早期離職リスクが高まる。 / 首都圏業務支援株式会社: BPO志望者が消滅水準に近づき、若手の雇用経路として機能しなくなる / 関東広域ロジスティクス株式会社: 物流は安定雇用と映る一方、AI不安×SNS増幅でキャリア見通しの不透明感が増す 現役側には 北関東精密加工株式会社: 供給網悪化で現場負荷増大。ロボ導入延期継続で中堅・ベテランへの技能依存が続き技能継承リスクと高齢化圧力が蓄積する。 / 首都圏業務支援株式会社: 残存非正規の転職観測が活発化し正規コア層も組織縮小を察知し始める / 関東広域ロジスティクス株式会社: ドライバーの生活費圧迫が続きSNS不安による将来不安が職場離脱衝動を高める
WE012	5	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	韓国	ステップ5: SNS不安増幅が75.5。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は35.3。	韓国の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE013	5	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: SNS不安増幅が75.5。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は35.3。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
WE014	5	世界イベント	供給網不安拡大の悪化	0.53	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: SNS不安増幅が75.5。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は35.3。	供給網の不安定化により、物価と企業採用への不安が残る。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE015	5	世界イベント	AI雇用不安増幅の悪化	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: SNS不安増幅が75.5。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は35.3。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB005	6	社会反応	情報過敏の拡大	0.41	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏34.0、生活防衛14.1、ケア9.7	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE006	6	組織判断	企業・組織の採用育成判断	0.49	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 安保・サイバー・半導体調達系人材の厳選継続。SNS不安下の内定者離脱リスク増でフォロー体制を強化する / 北関東精密加工株式会社: 地元新卒優先継続だが財政制度不信と SNS 不安 76.2 で定着意欲低下が加速。採用数は微圧縮継続し地元高校・高専との関係強化で母集団を守る。 / 首都圏業務支援株式会社: 新卒停止継続。中途も資金余力枯渇で事実上凍結。補充なし状態が固定化する	未来通信システム株式会社: 制度不信が深まり企業内安全網への期待が上昇。AI人材外の選別不安と慢性疲弊感が継続する / 北関東精密加工株式会社: 財政制度不信とSNS不安の複合で地方就職・定着意欲が前ステップより一段と低下。技能可視化なき職場は早期離職リスクが高まる。 / 首都圏業務支援株式会社: BPO・事務代行志望層がSNS不安と制度失望で回避行動を強め採用源が枯渇 現役側には 未来通信システム株式会社: SNS疲労・職務転換圧力・制度不信の三重負荷が重なり心理的安全性の低下リスクが顕在化する / 北関東精密加工株式会社: 補助支援遅れで中堅技能職の将来設計不安が増大。地方ほど可視化されにくく疲弊が蓄積されやすい状況が継続する。 / 首都圏業務支援株式会社: 非正規の雇用不安とSNS不安が重なり離職・無業化リスクが上昇する
WE016	6	世界イベント	供給網不安拡大の高止まり	0.48	全体	物価不安↑ 雇用安定↓ 慢性負荷↑	供給網不安	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: SNS不安増幅が76.2。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.7。	供給網の不安定化により、物価と企業採用への不安が残る。 新しい事件というより、高い不安が続いて疲労感を生む。
WE017	6	世界イベント	地政学SNS不安拡散の高止まり	0.52	全体	不安↑ 怒り↑ 逃避行動↑ 慢性負荷↑	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: SNS不安増幅が76.2。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.7。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 新しい事件というより、高い不安が続いて疲労感を生む。
WE018	6	制度制約	財政制約による支援遅れの悪化	0.65	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ6: SNS不安増幅が76.2。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.7。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB006	7	社会反応	生活防衛シフト	0.27	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛19.1、情報過敏19.1、学習移行17.8	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE007	7	組織判断	企業・組織の採用育成判断	0.50	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: SNS不安79.0で内定者離脱リスク最高水準。安保・国産AI人材の厳選維持しフォロー施策を強化する / 首都圏業務支援株式会社: 採用凍結を継続。SNS不安でBPO業界イメージが悪化し母集団形成すら不可能になりつつある。 / さくら在宅ケア株式会社: SNS発信で職場の人間的価値を示し口コミ採用を継続。資格者・復職者探しは変わらず	未来通信システム株式会社: 不安増幅下でAI人材需要格差が拡大。IT以外の新卒に選別と入社後放置への不安が高まる / 首都圏業務支援株式会社: BPO業界への就職忌避が拡大しキャリア選択肢として認識されなくなる。 / さくら在宅ケア株式会社: SNSで「ケア職は報われない」が拡散し若手の流入がさらに減少するリスク 現役側には 未来通信システム株式会社: エネ・安保・AI三重圧力でIT中堅層の再学習・配転圧力が継続上昇し離職検討が増える / 首都圏業務支援株式会社: 非正規層の自発離職が続き正規コア層に業務集中と疲弊が蓄積する。 / さくら在宅ケア株式会社: 中堅職員にSNS由来の精神的負荷が集中し離職意向が潜在的に上昇する
FB007	8	社会反応	情報過敏の拡大	0.40	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏33.2、生活防衛13.5、撤退12.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
