ガードレールID	名称	防ぐ崩壊パターン	必須制約	発行への影響	ペナルティへの影響	実装メモ
GR01	統治分離	発行者・評価者・罰則者が同じになり裁量通貨化する	発行主体、評価主体、監査主体、異議申立て主体を分離する	独立監査がない発行は保留する	独立審査がないペナルティは発動しない	利益相反開示と監査ログを必須にする
GR02	権利床条項	国家・企業・多数派が構造持続を名目に権利を削る	基本権、合法な抗議、思想信条、移動、家族形成しない自由、医療情報を直接スコア材料にしない	権利縮小による安定改善は発行不可	権利行使そのものをペナルティ対象にしない	合法な抗議は制度修復シグナルとして扱う
GR03	反実仮想事前登録	都合のよいbaselineで発行額や罰則を作る	介入前にG,V,m,時間地平,baseline_run_id,scenario_version,seed,副作用指標を凍結する	未登録の反実仮想による発行は無効	未登録の反実仮想によるペナルティは無効	run manifestと公開レジストリで管理する
GR04	単一スコア禁止	企業や国家の改善で個人・家系・自然の悪化を相殺する	Sはレイヤー別ベクトルで持ち、単一合計だけで意思決定しない	保護レイヤーが床割れした場合は発行停止	他レイヤー転嫁は控除ではなく発行停止条件にできる	個人,家系,企業,社会,国家,自然を別表示する
GR05	不可逆損傷の相殺禁止	自然破壊・権利侵害・居住喪失を後払いで免罪する	不可逆損傷、重大な権利侵害、強制的な居住喪失は他の改善で相殺しない	該当時は正の発行を停止する	担保没収,発行停止,修復義務を優先する	修復で軽減できるのは独立検証済みの回復可能損傷だけ
GR06	分布下限・少数派保護	平均改善で低所得・地方・ケア責任・障害等の悪化を隠す	サブグループ別下限、交差属性監査、未到達率監査を置く	脆弱層CVaRが悪化した発行は保留または減額	特定少数派への重大転嫁はペナルティ候補にする	低所得,地方,ケア責任,疾病障害,単身等を監査軸にする
GR07	個人監視禁止	個人・家族・メンタル・制度利用が社会信用スコア化する	個人単位スコア公開禁止、目的限定、データ最小化、削除期限、同意撤回権を置く	個人識別データ依存の発行は原則不可	個人単位の負のnatは原則禁止	集計・匿名・差分プライバシー相当を優先する
GR08	家族形成非強制	結婚・出産・家族ケアへの圧力になる	評価対象は出生や結婚の実績ではなく、望む人が選択できる実効性に限定する	出生数だけを成果にする発行は禁止	非婚・非出産・単身選択をペナルティ対象にしない	子ども意向は本人の自由な選択を前提に扱う
GR09	追加性・自己原因除外	壊してから直す方が儲かる	既存義務や自己原因で壊した構造の修復には原則発行しない	追加性がない活動は発行不可	自己原因の損傷は修復しても軽減限定	法令・契約・既存予算上の義務を事前確認する
GR10	反チェリーピック補正	軽いケースだけ集めて成果を作り高リスク層を避ける	困難ケース比率、対象層リスク、未到達者を監査する	軽症・容易ケース偏重は発行率を下げる	高リスク層回避はペナルティ候補にする	対象集団の事前登録と離脱者追跡を行う
GR11	遅延ベスティング	短期演出で40年価値を先取りする	長期Gは即時全額発行せず、仮発行・中間検証・遅延検証に分ける	遅延副作用が出るまで一部をエスクローに置く	後続悪化時は返還・次期控除にする	例: 即時20%,中間40%,遅延40%
GR12	寄与率台帳	最後に触った主体やデータを握る主体が成果を総取りする	actor_id,intervention_id,G_id,time_window,causal_claim_idで寄与を記録する	同一成果はプール配分し二重計上禁止	虚偽寄与は発行停止または返還	複数主体の貢献をledgerで管理する
GR13	品質ゲート	研修件数・相談件数・参加人数だけが増えて実経路が増えない	形式指標だけでは発行しない。実行経路、本人納得、一定期間の持続を最低条件にする	品質ゲート未達は発行不可	名目施策で実害が出た場合はペナルティ候補	相談件数より相談後の到達率を見る
GR14	ペナルティ手続保障	不人気な挑戦や改革を後から罰する	明確なしきい値、事前警告、故意・重過失・予見可能性、上限額、時効、段階制裁を置く	手続違反がある場合は発行判断も保留	不服申立て中は執行停止を可能にする	罰より是正命令・修復義務を優先する
GR15	ペナルティ帰着分析	罰が利用者・若者・住民・ケア受益者へ転嫁される	ペナルティ負担の帰着分析を必須にする	弱い当事者への転嫁が見込まれる場合は発行条件を変更する	意思決定者・所有者・受益主体へ負担させる	サービス削減で罰を回収することを禁じる
GR16	政治・選挙利用禁止	国家公認活動や与党・行政に都合の良い参加だけが報われる	政党活動、選挙動員、思想宣伝への発行を禁止し、批判的活動も手続き公正に資するなら対象にする	政治利用疑義のある発行は保留	反対派へのペナルティ利用を禁止する	採択理由と不採択理由を公開する
GR17	通貨信用ガードレール	発行過多で信用が崩れる、絞りすぎで誰も動かない	円換算係数、年間発行上限、分野別上限、財源、償還条件を置く	上限超過時は優先順位に従い発行保留	返還・負の発行も上限と生活影響を考慮する	ハッカソンでは発行額でなく発行候補natに留める
GR18	測定契約	0-100主観指標をnatとして扱い数理が崩れる	B,M,Sの単位、0-100指標から到達確率への変換、欠測時処理を事前定義する	単位未定義の指標は発行に使わない	単位未定義の指標はペナルティに使わない	主観指標は客観アンカーと遅延検証を併用する
GR19	ケア・子育て非搾取	家族介護・出産・子育ての報酬化が、家族責任や出生圧力へ変わる	報酬対象は本人の自由な選択と実効的支援であり、出生実績や家族介護の強制ではない	本人選好と代替経路がない場合は発行不可	非婚・非出産・介護しない選択をペナルティ対象にしない	ケアする人、される人、子ども本人の権利を同時に守る
