イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文	planner_action	delivery_channel	budget_cost_0to1	implementation_lag_steps	duration_steps	expected_effect	side_effect_watchpoints	adjustment_reason
PL001_01	1	政策探索	副作用監査と異議申立ての即時窓口	0.62	不安が高い層（非正規・単身・介護/育児併走・失職リスク層）	制度信頼↑ 不安増幅↓ 対象外反発↓	LLM政策探索/構造持続あり	日本	地政学・エネルギー高で不安が増幅。制度信頼と生活維持の担い手が摩耗し二極化が進む。	何かあっても言い返せる場所があるなら、将来計画を立て直せる気がする。	add	自治体	0.28	0	8	制度信頼↑ 不安増幅↓ 対象外反発↓	申立て殺到による待ち時間、監査が形骸化、説明が強制に見える、現場疲弊	高リスク環境では給付拡大より先に、誤配・不公平・強制感の火種を抑え制度疲労を予防する必要があるため。
PL001_02	2	政策探索	社会維持活動nat報酬（ケア・防災・地域運営）	0.70	ケア負担者、地域インフラ維持の担い手、学び直し準備層	未来経路↑ ケア負担↓ 地域維持↑ 雇用不安↓	LLM政策探索/構造持続あり	日本	地政学・エネルギー高で不安が増幅。制度信頼と生活維持の担い手が摩耗し二極化が進む。	仕事が不安定でも、地域で役に立つほど次の選択肢が増えるなら前に進める。	add	地域	0.62	1	8	未来経路↑ ケア負担↓ 地域維持↑ 雇用不安↓	不正・水増し、参加できない人の対象外感、現金代替と誤解される、自治体間格差	供給網脆弱・財政圧の局面では、生活と地域の維持を『役割と報酬』として見える化し、雇用の谷とケアの摩耗を同時に緩衝する方が副作用が小さいため。
PL002_01	3	政策探索	nat報酬の参加不能配慮と不正抑止の同時改修	0.60	ケア・疾患・単身・失職リスクで参加困難/不規則な層、自治体資源が弱い地域	対象外感↓ 不正・水増し↓ 制度信頼↑ ケア負担↓ 地域維持↑	LLM政策探索/構造持続あり	日本	副作用圧と公平感欠損が高く、対象外感が不信と疲労を増幅しやすい	やりたいことより、制度の穴埋めか疑われる不安が先に立つ	amend	自治体	0.18	1	8	対象外感↓ 不正・水増し↓ 制度信頼↑ ケア負担↓ 地域維持↑	参加条件の複雑化による手続き疲れ、自治体間格差の固定化、監視強化が強制感に見える	公平感欠損と副作用圧が高い局面で、参加できない層の反発と不正懸念を先に潰さないと二極化と疲労が加速するため
PL002_02	2	政策探索	異議申立の一次判定短縮と『非強制説明』の標準化	0.52	不安が高い層（非正規・単身・介護/育児併走・失職リスク層）と現場窓口職員	待ち時間↓ 政策疲労↓ 制度信頼↑ 不安増幅↓ 対象外反発↓	LLM政策探索/構造持続あり	日本	副作用圧と公平感欠損が高く、対象外感が不信と疲労を増幅しやすい	困ったときに早く否定されずに話を聞いてもらえるかが一番の不安	simplify	相談窓口	0.12	0	6	待ち時間↓ 政策疲労↓ 制度信頼↑ 不安増幅↓ 対象外反発↓	一次判定の粗さによる誤判定、窓口の負荷集中、説明が『強制』と誤読される	申立て殺到と形骸化リスクが最初に現れやすく、短縮と非強制の型を先に入れる方が疲労と不信の連鎖を止めやすい
PL003_01	4	政策探索	副作用・対象外救済ルートの非強制説明パッケージ	0.60	注意層（非正規・単身・ケア併走・失職リスク）と現場窓口職員	制度信頼↑ 対象外反発↓ 政策疲労↓ 不安増幅↓	LLM政策探索/構造持続あり	日本	副作用圧が突出し、公平感欠損と政策疲労が『対象外反発』を増幅。手続き負担も再燃。	制度が増えるほど自分が対象外になる気がして、どこに頼ればいいか分からない。	explain	相談窓口	0.08	1	6	制度信頼↑ 対象外反発↓ 政策疲労↓ 不安増幅↓	説明が強制に見える、窓口負荷集中、情報過多で逆に疲れる	nat報酬の改修と異議申立短縮が進むほど、説明の不備は『監視強化』『選別』に誤読されやすい。副作用の見える化と救済ルート提示を先に整え、反発と疲労を減衰させる。
PL003_02	5	政策探索	住居・ケア・学び直し・地域更新のワンストップ束ね直し（条件整理）	0.50	参加不規則層（ケア・疾患・単身・失職リスク）と自治体資源が弱い地域	手続き疲れ↓ 公平感↑ 生活防衛↑ 未来経路↑ 対象外感↓	LLM政策探索/構造持続あり	日本	副作用圧が突出し、公平感欠損と政策疲労が『対象外反発』を増幅。手続き負担も再燃。	支援はあると言われるのに窓口が多すぎて、結局どれも自分向けじゃない感じがする。	simplify	自治体	0.34	2	8	手続き疲れ↓ 公平感↑ 生活防衛↑ 未来経路↑ 対象外感↓	対象条件の境界争い、自治体間格差の固定化、窓口改編による一時混乱	副作用圧と公平感欠損の背景に『制度が分断され自己責任に見える』構図があるため、束ね直しで入口を一本化し、対象条件を整理して摩擦と疲労を下げる。
PL004_01	5	政策探索	救済・説明の順序統一（入口一本化）	0.60	注意層（非正規・単身・ケア併走・失職リスク）と現場窓口職員	政策疲労↓ 情報過多↓ 制度信頼↑ 対象外反発↓ 待ち時間↓	LLM政策探索/構造持続あり	日本	副作用圧95.6が突出。説明と救済が多層化し、対象外感と手続き疲れが政策疲労・公平感欠損を増幅。	制度が増えて何から手を付ければいいか分からず、損しそうで怖い。	sequence	相談窓口	0.14	1	8	政策疲労↓ 情報過多↓ 制度信頼↑ 対象外反発↓ 待ち時間↓	入口集中による待ち時間悪化、一次判定の粗さによる誤振り分け、説明が強制に見える誤読	副作用圧が最大で、施策追加より『どこから何をすれば良いか』の迷いと窓口負荷が悪化源。順序統一で摩擦を減らす。
PL004_02	6	政策探索	住居・ケア・学び直し・地域更新の束ね直し（最小パッケージ）	0.52	参加困難/不規則層（ケア・疾患・単身・失職リスク）と自治体資源が弱い地域	生活防衛↑ 対象外感↓ 公平感↑ ケア負担↓ 未来経路↑	LLM政策探索/構造持続あり	日本	副作用圧95.6が突出。説明と救済が多層化し、対象外感と手続き疲れが政策疲労・公平感欠損を増幅。	働く・学ぶ・介護するが同時に来て、どれも中途半端で将来が詰んで見える。	amend	自治体	0.22	2	8	生活防衛↑ 対象外感↓ 公平感↑ ケア負担↓ 未来経路↑	パッケージ条件の複雑化、自治体間格差の固定化、既存施策との重複による政策疲労	公平感欠損55.5と生活防衛36.4が並走し、単発制度が『拾い漏れ』を生む。束ね直しで対象外反発と副作用を減らす。
PL005_01	6	政策探索	入口一本化の負荷分散改修（予約・分岐・代行）	0.60	注意層（非正規・単身・ケア併走・失職リスク）と窓口職員、自治体資源が弱い地域	政策疲労↓ 待ち時間↓ 制度信頼↑ 対象外反発↓ 公平感↑	LLM政策探索/構造持続あり	日本	副作用圧100で不信と疲労が先行。入口集中と情報過多が公平感欠損を増幅。	制度は増えたのに、どこに行けば何が解決するのか分からず、並ぶほど損をする気がする。	amend	自治体	0.22	1	8	政策疲労↓ 待ち時間↓ 制度信頼↑ 対象外反発↓ 公平感↑	入口集中による待ち時間悪化、一次判定の粗さによる誤振り分け、デジタル弱者の排除	供給網不安の中で新規拡大は反発を招くため、既存の入口一本化を“混雑しない設計”に直して副作用圧を下げる。
PL005_02	5	政策探索	非強制・最小情報の個別説明（1枚要約＋選択式）	0.50	注意層（手続き疲れ・情報過敏が高い層）と申立て利用者、窓口職員	情報過多↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 申立て品質↑	LLM政策探索/構造持続あり	日本	副作用圧100で不信と疲労が先行。入口集中と情報過多が公平感欠損を増幅。	長い説明より、今の自分に関係ある選択肢だけを短く示してほしい。	explain	相談窓口	0.11	0	6	情報過多↓ 政策疲労↓ 制度信頼↑ 対象外反発↓ 申立て品質↑	説明が強制に見える誤読、情報が少なすぎて不信が残る、現場の追加負担	副作用圧が最大の局面では、追加給付より“誤解と強制感”を減らす説明設計が最優先で、入口改修と同時に効く。
