step	agent_id	name	layer	base_age	current_age	evaluation	emotion	pathway	support	intensity	action	action_category	action_detail	thought	private_talk	social_post	perceived_situation	reasoning_basis	memory_update	carryover_concern	side_effect	adjustment_request	fairness_perception	policy_fatigue
1	A01	佐藤陽菜	若者	15	15	中立	平静	60.0	55.0	38.0	進路確認	情報収集	ニュースは流し見しつつ、学校で進路情報と奨学金を確認する。	世界のニュース重いけど、今は受験の準備を崩さないのが一番かも。	最近ニュース怖いよね。とりあえず勉強の計画だけは守ろ。	不安な話題多いけど、まず自分の目の前の準備進める。	戦争や衝突のニュースが増え、SNSでも不安が広がっている。	実家で生活は安定、進学志向で当面は受験優先。情報は断片的。	不安な世界情勢でも、計画を守るのが自分の防波堤だと確認。	物価や将来の仕事の話が増えて、進路選びが難しくなる不安。	なし	なし	58.0	22.0
1	A02	鈴木大翔	若者	16	16	中立	平静	57.0	54.0	38.0	様子見で確認	情報収集	ニュースとSNSで物価や進路への影響をざっと確認する	戦争とか物価とか怖いけど、今すぐ自分の生活が変わる実感はない。	最近ニュース重いよな。物価上がって部費とか地味にキツくならん？	ニュース重い。とりあえず無事でいてほしいし、物価だけ上がるの勘弁。	SNSで戦争や衝突の話題が増え、物価や将来不安の投稿も目につく	部活中心で日常は維持。ただSNSの不安増と物価の話が刺さる	世界情勢が荒れてる感覚と、物価が上がりそうな警戒を持った	部費や交通費の負担増、進路の求人減の噂が本当か不安	なし	なし	56.0	24.0
1	A03	高橋湊	若者	17	17	中立	平静	66.0	60.0	36.0	準備強化	学習・就活	学校の求人動向を確認しつつ、ポートフォリオ更新を進めた。	世界が荒れてるのは嫌だけど、結局は手を動かした分だけ強い。採用は読めないな。	求人どうなるかな。まあ今のうちに作品と資格固めとくわ。	不安定な時ほど基礎固め。ポートフォリオ更新した。	地政学ニュースで不安が流れる一方、学校では就職の見通しが少し良いと聞いた。	高専在学で学習資源があり、実家で生活は安定。ニュース不安はあるが行動可能。	「不安定でも技能と実績が効く」という実感が強まった。	採用枠縮小や物価上昇で、選択肢が狭まるかもしれない不安。	なし	なし	62.0	24.0
1	A04	田中結菜	若者	15	15	注意	不安	38.0	37.0	72.0	進路警戒	情報収集	物価や採用の話を見て、進学費用とバイトの不安を整理する	戦争とか物価とか、結局うちが先に苦しくなる気がする。進路、外したら終わる。	バイト減ったら地味に詰むよね…進学とか言ってる場合かなってなる	ニュース重い。物価上がる前提で進路考えるの、しんどいな。	SNSで戦争と物価の話が増え、将来が読みにくい空気を感じた	家計に余裕が薄く、制度信頼も高くないため不安が先に立った	外部ショックで生活が揺れる感覚が強まった	進学費用とバイト収入が同時に不安定になること	財政不安	財源説明	41.0	56.0
1	A05	伊藤蓮	若者	18	18	注意	不安	43.0	44.0	62.0	進路再点検	情報収集	就活時期と交通費負担を見直し、奨学金と支援通知を確認する	景気と戦争の話ばかりで、地方だと選択肢が先に削られそう。	最近求人どうなるんだろ。通学とバイト両立、もうギリかも。	地方学生の移動コスト、就活前に効いてくる。支援情報わかりやすくしてほしい。	SNSで戦争と物価不安、企業の採用縮小の話が流れてきた	低所得で通学負担が重く、採用縮小ニュースが将来不安に直結した	支援はあるらしいが条件が複雑そう、通知が来たら必ず読む	物価と交通費上昇で学業継続と就活準備が詰む不安	手続き疲れ	手続き簡素化	40.0	55.0
1	A06	渡辺心愛	若者	19	19	注意	不安	38.0	35.0	74.0	進路不安の整理	相談	担任に進路相談の予約を入れ、求人と奨学金条件を確認する。	世界が不安定って言われても、私の進路は待ってくれない。外れたら終わりそうで怖い。	就職も進学も迷う…。物価も上がるし、地元でやっていける気がせん。	進路の情報多すぎて逆に動けない。ちゃんと相談できる場ほしい。	ニュースで戦争や物価、企業の採用縮小っぽい話が増え、進路情報が不安定に見えた。	地方で選択肢が少なく、軽いケアもあって動ける範囲が狭い。SNS不安も強い。	採用縮小と物価不安が続く前提で、早めに相談枠を確保しようと思った。	地元での就職口と学費負担、家の用事で遠方に出にくいこと。	政策疲労	手続き簡素化	40.0	61.0
1	A07	山本陸	若者	19	19	注意	不安	46.0	44.0	63.0	様子見で集める	情報収集	会社の先輩に職場の景気と異動話を聞き、給料明細も見直す	ニュースが怖い。物価も上がりそうで、今の仕事が続くか落ち着かない。	戦争とかで景気ヤバい？ うちの会社も削られたりしないよな…	物価も不安だし、若いと先が見えない。情報だけでも整理したい。	SNSで戦争と物価の話題が増え、会社の採用縮小の噂も目に入った	地方で初職・実家。同年代の不安話とSNS増幅で将来が曇って見えた	不安時は先輩や現場情報を優先して確かめる癖が強まった	物価上昇と会社の育成縮小で、稼ぎと将来の伸びが鈍る懸念	政策疲労	対象条件の説明	45.0	60.0
1	A08	中村美咲	若者	20	20	中立	平静	52.0	50.0	38.0	進路再点検	情報収集	就活サイトと大学の掲示で募集動向を確認し、バイトシフトを少し増やす	戦争とか不安だけど、今すぐ何か変えるより就活の軸だけ固めたい。	最近募集減ってない？とりあえず夏前にインターン探そ…	不安定な時ほど、できる準備を淡々と。情報は一次ソースで。	SNSで地政学不安が増え、企業の新卒枠が絞られる話も目に入った	文系在学で就活期が近い/借入もあり、景気と採用話に反応しやすい	採用縮小の話は続くかも、とメモした	物価とバイト収入で生活がきつくならないか	なし	なし	50.0	34.0
1	A09	小林颯太	若者	21	21	注意	不安	52.0	50.0	46.0	就活の前倒し確認	情報収集	研究室の先輩と就活サイトで採用動向を確認する	戦争とかで景気が揺れると、結局いちばん割食うの学生だよな。	就活、思ったより早めに動いたほうがいい？枠減るとか怖い。	採用枠縮小の話、体感ある人いる？理系でも油断できない。	SNSで地政学不安と採用縮小の話が増え、先輩も警戒していた	理系在学で就活が近く、SNS不安増と採用判断の話が刺さったため	採用枠が動く前に準備を前倒しする意識が残る	物価と景気で生活費と就職先の安定が悪化しないか不安	政策疲労	非強制説明	55.0	61.0
1	A10	加藤梨央	若者	22	22	注意	不安	49.0	46.0	56.0	就活警戒	情報収集	学校の求人と企業動向を見て、応募先を現実的に絞る。	就職口、減るのかな。借金あるし外したくない。焦る。	求人さ、減ってない？AI枠って結局経験者向けっぽくて怖い。	景気も不安定だし、今は資格とポートフォリオ固めるしかない。	SNSで地政学不安と物価の話が増え、求人はAI寄りに見える。	専門在学で就職が最優先、負債もあり不確実性に敏感になった。	AI運用系の求人は増えるが一般枠は細るかも、と記憶した。	物価と採用縮小で生活費と内定確度が下がる懸念。	政策疲労	対象条件の説明	44.0	52.0
