step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
1	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	地政学・エネルギー高で不安が増幅。制度信頼と生活維持の担い手が摩耗し二極化が進む。	2	0.90	雇用不安	信頼先行・負担緩衝
2	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧と公平感欠損が高く、対象外感が不信と疲労を増幅しやすい	2	0.30	対象外反発	対象外感の最小化と手続き摩擦低減
3	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が突出し、公平感欠損と政策疲労が『対象外反発』を増幅。手続き負担も再燃。	2	0.42	対象外反発	副作用先行・対象外救済の可視化
4	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧95.6が突出。説明と救済が多層化し、対象外感と手続き疲れが政策疲労・公平感欠損を増幅。	2	0.36	政策疲労	窓口負荷分散と束ね直し
5	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100で不信と疲労が先行。入口集中と情報過多が公平感欠損を増幅。	2	0.33	政策疲労	入口最小化と負荷分散
6	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労61が支配。入口集中と説明過多が不信・対象外感を増幅。	2	0.33	政策疲労	入口負荷分散×最小情報
7	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労64.6が突出。供給網不安下で窓口混雑と不公平感が増幅。	2	0.33	政策疲労	入口負荷分散＋最小説明で摩擦低減
8	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で、公平感欠損と政策疲労が固定化。入口強化だけでは不信が残る。	2	0.44	政策疲労	副作用可視化と境界救済
9	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100で不信と疲労が拡大、境界層の対象外感がSNSで増幅し二極化が進行。	2	0.44	政策疲労	炎上耐性と境界救済の再設計
10	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100で炎上・不信が増幅し、政策疲労と公平感欠損が固定化しつつある。	2	0.26	政策疲労	公開順序の再設計＋境界不安の説明圧縮
11	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労70.7が高止まり。SNS不安で誤解と反発が増幅しやすい。	2	0.44	政策疲労	手続き統合＋炎上抑制順序
12	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労72が臨界。境界層の対象外反発がSNS不安を増幅。	2	0.34	政策疲労	増やさず摩擦削減＋透明化
