イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文	planner_action	delivery_channel	budget_cost_0to1	implementation_lag_steps	duration_steps	expected_effect	side_effect_watchpoints	adjustment_reason
PL001_01	2	政策探索	初期費用緩衝ワンストップ	0.65	妊娠前後〜0歳の世帯/単身で家族形成検討中	費用不安↓ 手続き摩擦↓ 子ども希望↑ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	地政学・物価・雇用不安が先行し、家族形成は費用/手続き/ケア負担で詰まりやすい。	物価も仕事も先が読めず、子ども以前に出費と手続きの想像で止まる。	add	自治体	0.60	1	8	費用不安↓ 手続き摩擦↓ 子ども希望↑ 制度信頼↑	対象外感、財政不安、申請殺到による待ち時間、自治体間格差	外部リスクが高い局面は『大きな希望訴求』より、初期コストと手続き不安を先に潰して中立層の離脱を防ぐ。
PL001_02	1	政策探索	副作用監査+異議申立+非強制説明(政策AI同梱)	0.50	全住民（特に未婚/非出産選択者、制度不信層、現役納税層）	強制感↓ 対象外反発↓ 制度信頼↑ 政策疲労↓ 補正速度↑	LLM政策探索/構造持続あり+伴走支援	日本	地政学・物価・雇用不安が先行し、家族形成は費用/手続き/ケア負担で詰まりやすい。	支援はありがたいが、押しつけや監視っぽさがあると一気に距離を置きたくなる。	add	スマホ通知	0.35	0	8	強制感↓ 対象外反発↓ 制度信頼↑ 政策疲労↓ 補正速度↑	説明過多による疲労、監査が形骸化、AIへの不信・監視懸念、異議申立の処理遅延	構造持続×出産支援は反発と分断が出やすいので、拡大前に『強制しない/不利益化しない/異議申立できる』を先に固定して副作用を早期検知する。
PL002_01	3	政策探索	ワンストップ即時予約+待ち時間平準化	0.60	妊娠前後〜0歳の世帯/家族形成検討中（特に手続き離脱・待ち時間で諦める層）	手続き摩擦↓ 受給体験↑ 制度信頼↑ 政策疲労↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧70.6と公平感欠損52.5が高く、対象外反発と手続き疲れが注意層を固定化。	制度はあるのに予約や手続きで詰まり、結局自己責任に戻される感じがする。	amend	自治体	0.05	1	8	手続き摩擦↓ 受給体験↑ 制度信頼↑ 政策疲労↓	申請殺到による待ち時間、自治体間格差、説明過多による疲労	既存施策は有効だが「混雑・格差・説明過多」が副作用を増幅しやすく、体験品質を先に整える方が信頼と継続利用が伸びるため。
PL002_02	3	政策探索	社会維持活動nat報酬（対象外反発緩衝）	0.50	未婚/非出産選択者、介護・地域活動・防災・学習支援など社会維持を担う層、現役納税層	公平感↑ 対象外反発↓ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧70.6と公平感欠損52.5が高く、対象外反発と手続き疲れが注意層を固定化。	子どもを持つ/持たないに関係なく、社会に必要な役割が正当に扱われている実感がほしい。	compensate	地域	0.25	1	8	公平感↑ 対象外反発↓ 制度信頼↑ 二極化↓	不正受給・形骸化、監視懸念、参加できない層の不満	出産支援の拡大局面ほど「自分は対象外」の反発が制度信頼を削るため、非強制で広く貢献を可視化・報酬化して分断を先に緩衝する必要がある。
PL003_01	4	政策探索	申請・監査の二重化解消ミニマム運用	0.60	注意層（制度不信/手続き離脱/現役納税層、未婚・非出産選択者含む）	政策疲労↓ 手続き摩擦↓ 反発連鎖↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が突出し、公平感欠損と政策疲労で離脱・反発が起点になっている	支援は増えたのに手続きと説明が重くて、結局損しそうに感じる	simplify	スマホ通知	0.08	1	8	政策疲労↓ 手続き摩擦↓ 反発連鎖↓ 制度信頼↑	説明不足による誤解、異議申立の取りこぼし、自治体間の運用品質差	副作用圧(89.7)が先に噴いており、施策追加より体験負荷の圧縮が必要
PL003_02	3	政策探索	補償→支援の順に並べ替え（対象外反発緩衝を先行）	0.55	対象外感が強い層（未婚・非出産選択者、参加困難層、現役納税層）と支援利用検討層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が突出し、公平感欠損と政策疲労で離脱・反発が起点になっている	自分が当事者じゃない制度に見えると、協力する気持ちが先に折れる	sequence	自治体	0.05	0	6	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑	補償の不正・形骸化、参加できない層の不満、財政不安の再燃	公平感欠損(53.4)と政策疲労(53.8)が同時進行のため、受益の順序で反発を先に沈める
PL004_01	5	政策探索	副作用監査・異議申立の高速化SLA+要点説明	0.62	全住民（特に制度不信・現役納税層、未婚/非出産選択者、注意層）	制度信頼↑ 政策疲労↓ 対象外反発↓ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が極端に高く、公平感欠損と政策疲労が注意層を固定化している	制度は増えるのに不都合が起きたときに誰も早く助けてくれない気がする	amend	スマホ通知	0.12	1	8	制度信頼↑ 政策疲労↓ 対象外反発↓ 二極化↓	説明過多による疲労、監視懸念、異議申立の滞留、自治体間の処理格差	副作用圧95.6が臨界で、正す速さと根拠の要点提示がないと不信と反発が増幅するため
PL004_02	5	政策探索	産後休息・代替ケア48時間パッケージ（予約連動）	0.58	妊娠後期〜産後6か月の世帯（単親・低支援・復職予定を優先）	ケア負担↓ 生活防衛↑ 制度信頼↑ 家族形成の継続意欲↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が極端に高く、公平感欠損と政策疲労が注意層を固定化している	子どもは欲しいけど、産後に倒れたら詰むという不安が一番大きい	add	自治体	0.45	1	8	ケア負担↓ 生活防衛↑ 制度信頼↑ 家族形成の継続意欲↑	対象外感（子なし/利用困難層）、供給不足による待ち時間、自治体間格差、不正利用・名義貸し	手続き摩擦の次は実体のケア不足が離脱点になりやすく、早期の休息確保が副作用（燃え尽き・不信）を抑えるため
PL005_01	6	政策探索	補償・監査先行の一本化導線	0.62	注意層（制度不信/現役納税/未婚・非出産選択者/参加困難層）＋支援検討層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑ 政策疲労↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、説明過多と処理滞留が政策疲労・公平感欠損を増幅し注意層が固定化。	物価と将来不安が強いのに、制度は複雑で自分は対象外にされる気がして距離を置きたくなる。	sequence	スマホ通知	0.06	1	8	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑ 政策疲労↓	参加できない層の不満、不正・形骸化への疑念、財政不安の再燃、自治体間の運用品質差	対象外反発と副作用圧が同時に高く、支援より先に『補償と監査がある』順序を見せないと受容が進まないため。
PL005_02	5	政策探索	三層メッセージ+非強制ワンタップ要約	0.58	全住民（特に情報過敏は低いが疲労が高い注意層）	政策疲労↓ 誤解↓ 監視懸念↓ 異議申立の利用容易性↑ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、説明過多と処理滞留が政策疲労・公平感欠損を増幅し注意層が固定化。	結局どこが自分に関係あるのかを短く知りたいのに、長い説明ばかりで追えない。	explain	スマホ通知	0.08	0	6	政策疲労↓ 誤解↓ 監視懸念↓ 異議申立の利用容易性↑ 制度信頼↑	説明過多の再発、AIへの不信・監視懸念、重要情報の見落とし、異議申立の急増による滞留	副作用監査の強化は必要だが、現状は『読む負担』が疲労を増やすため、要点1画面→詳細→根拠の三層で負担を下げつつ非強制を明確化する。
PL006_01	7	政策探索	監査・異議・要点説明の単一窓口+通知上限	0.62	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）	政策疲労↓ 誤解↓ 対象外反発↓ 制度信頼↑ 異議申立の到達性↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、政策疲労と公平感欠損が固定化。供給制約下で待ち・格差が反発を増幅。	物価と雇用の不安が強いのに、制度は複雑で監視されそうで関わるほど疲れる。	simplify	スマホ通知	0.09	1	8	政策疲労↓ 誤解↓ 対象外反発↓ 制度信頼↑ 異議申立の到達性↑	重要情報の見落とし、異議申立の急増による滞留、AI/監視懸念の再燃、自治体間の処理格差	施策追加より、100%の副作用圧と高い疲労を先に減圧しないと支援が届かず反発が連鎖するため。
PL006_02	7	政策探索	産後48時間パッケージの需給調整（優先枠+代替メニュー）	0.58	妊娠後期〜産後6か月（単親・低支援・復職予定を優先）と利用困難層	待ち時間↓ ケア負担↓ 生活防衛↑ 制度信頼↑ 二極化↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧が最大で、政策疲労と公平感欠損が固定化。供給制約下で待ち・格差が反発を増幅。	子どもは欲しい気持ちはあっても、産後の支援が待ちだらけなら現実的に踏み出せない。	amend	自治体	0.18	1	8	待ち時間↓ ケア負担↓ 生活防衛↑ 制度信頼↑ 二極化↓	供給不足の固定化、対象外感（子なし/利用困難層）、自治体間格差、不正利用・名義貸し	供給網不安と人手制約の局面では『出す』だけで待ちが副作用になりやすいので、優先枠と代替メニューで体験の悪化を止める。
PL007_01	8	政策探索	通知上限+選択式ダッシュボード（異議・監査一本化）	0.65	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）	政策疲労↓ 誤解↓ 対象外反発↓ 制度信頼↑ 異議申立到達性↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労63が支配的。支援の中身より「窓口/通知/異議処理」の摩擦が不信と対象外反発を増幅。	支援が増えても何が自分に関係あるか分からず、通知と手続きで疲れて距離を置きたくなる。	simplify	スマホ通知	0.12	1	8	政策疲労↓ 誤解↓ 対象外反発↓ 制度信頼↑ 異議申立到達性↑	重要情報の見落とし、異議申立の急増による滞留、AI/監視懸念の再燃	供給網不安下では新規拡大よりも、通知・窓口・異議の摩擦が副作用を増やすため、まず接触コストを下げて信頼を回復する。
PL007_02	8	政策探索	参加困難者向け社会維持natの「代替ルート」	0.50	社会維持に関与したいが参加が難しい層（介護・疾病・多忙・地方移動困難）＋対象外感が強い層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100と政策疲労63が支配的。支援の中身より「窓口/通知/異議処理」の摩擦が不信と対象外反発を増幅。	子育て支援は理解するけど、自分の生活が苦しい時に『自分は対象外』と感じると政策全体に反発したくなる。	compensate	自治体	0.10	1	8	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑	不正受給・形骸化、参加できない層の不満、監視懸念	公平感欠損56.8が高止まりしており、支援の前提として『貢献の多様性を認める』補償を厚くしないと反発と疲労が再燃する。
PL008_01	9	政策探索	通知上限の強制デフォルト+重要情報の二段階提示	0.60	注意層（制度不信/現役納税/未婚・非出産選択者/手続き離脱）	政策疲労↓ 誤解↓ 監視懸念↓ 制度信頼↑ 異議申立到達性↑	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100で監視懸念と通知過多が臨界、政策疲労と公平感欠損が反発を増幅。	不安情報が多すぎて、制度の通知も『監視と負担』に感じてしまう。	amend	スマホ通知	0.08	1	8	政策疲労↓ 誤解↓ 監視懸念↓ 制度信頼↑ 異議申立到達性↑	重要情報の見落とし、異議申立の急増による滞留、AI/監視懸念の再燃	SNS不安増幅下では『情報を増やすほど不信が増える』ため、既存のダッシュボードを“最小通知が標準”に寄せて副作用を先に減圧する。
PL008_02	9	政策探索	補償・監査先行の導線を固定（支援は後追いで選択式）	0.55	対象外感が強い層（未婚・非出産選択者、参加困難層、現役納税層）＋支援検討層	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑ 政策疲労↓	LLM政策探索/構造持続あり+伴走支援	日本	副作用圧100で監視懸念と通知過多が臨界、政策疲労と公平感欠損が反発を増幅。	支援より先に『自分は置いていかれない』と確かめられないと、制度全体を信用できない。	sequence	自治体	0.12	1	8	公平感↑ 対象外反発↓ 二極化↓ 制度信頼↑ 政策疲労↓	参加できない層の不満、不正・形骸化への疑念、財政不安の再燃	公平感欠損59が高く、出産支援の前に『対象外反発の遮断』を恒常導線として固定しないと二極化が進むため。
