イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.43	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒枠は絞り即戦力中途と重要職を増やす / 首都圏業務支援株式会社: 新卒は絞り、AI運用・品質管理の中途を増やす / 北関東精密加工株式会社: 新卒は絞り技能適性重視、中途は設備・品質の即戦力優先	未来通信システム株式会社: 採用競争は二極化し、AI非適応層の不安増 / 首都圏業務支援株式会社: 未経験枠が細り不安増、AI監督職の入口は残る / 北関東精密加工株式会社: 採用枠減で不安増、ただし現場×AI技能の成長機会は残る 現役側には 未来通信システム株式会社: セキュリティ・BCP寄りへ学び直し圧力が上昇 / 首都圏業務支援株式会社: 事務・CSの再配置と再学習圧力、離職も増えやすい / 北関東精密加工株式会社: 技能者は役割再定義が進み、保全・改善で評価軸が移る
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが64.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は49.2。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア	ステップ1: 地政学リスクが64.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は49.2。	北朝鮮、ロシアの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
FB001	2	社会反応	生活防衛シフト	0.37	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏27.7、生活防衛24.8、ケア5.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB002	2	社会反応	情報過敏の拡大	0.30	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏27.7、生活防衛24.8、ケア5.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE002	2	組織判断	企業・組織の採用育成判断	0.48	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は更に厳選し、AI運用・BCP対応の中途を優先 / 未来通信システム株式会社: 新卒は重要職に絞り、中途はセキュリティ系を増やす / 北関東精密加工株式会社: 新卒は必要最小で適性重視、中途の設備・品質を優先	首都圏業務支援株式会社: 採用枠縮小で不安増、AI監督技能の早期習得が鍵に / 未来通信システム株式会社: 不安増で安定志向が強まり、AI志望と回避に二極化 / 北関東精密加工株式会社: 採用絞りで不安増、AI/ロボ運用経験が武器になり得る 現役側には 首都圏業務支援株式会社: 不確実性で守り志向強化、再配置とメンタル負荷が増す / 未来通信システム株式会社: 地政学対応で負荷増、再学習と説明責任が重くなる / 北関東精密加工株式会社: 多能工・保全への再訓練圧力増、雇用維持で急激な失職は抑制
WE003	2	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	イスラエル	ステップ2: 地政学リスクが66.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.5。	イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE004	2	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.5。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE005	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.5。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
FB003	3	社会反応	生活防衛シフト	0.27	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏29.8、生活防衛18.9、撤退6.8	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB004	3	社会反応	情報過敏の拡大	0.34	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	情報過敏29.8、生活防衛18.9、撤退6.8	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE003	3	組織判断	企業・組織の採用育成判断	0.49	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は最小限、AI運用・BCPの中途を優先 / 未来通信システム株式会社: 新卒は重要職に絞り、中途は供給網・安保系を増やす / 北関東精密加工株式会社: 新卒は必要最小を継続、品質・設備の中途を優先採用	首都圏業務支援株式会社: 新卒枠縮小で不安増、AI運用志向の選別が強まる / 未来通信システム株式会社: 選別不安が増えるが、危機対応スキルの機会は増える / 北関東精密加工株式会社: 採用枠は絞られ不安増、技能×AIの成長機会は残る 現役側には 首都圏業務支援株式会社: 現場は監督・品質へ再編、再学習と役割不安が増える / 未来通信システム株式会社: 配置転換と再教育が加速し、負荷と不安が上がる / 北関東精密加工株式会社: 現場は運用負担増、再配置で職は維持されやすい
WE006	3	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.4。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.1。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
WE007	3	世界イベント	供給網不安拡大	0.28	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.4。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.1。	供給網の不安定化により、物価と企業採用への不安が残る。
WE008	3	世界イベント	地政学SNS不安拡散の悪化	0.23	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが72.4。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.1。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
WE009	3	制度制約	財政制約による支援遅れ	0.21	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ3: 地政学リスクが72.4。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.1。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。
FB005	4	社会反応	生活防衛シフト	0.61	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛37.8、情報過敏15.8、ケア6.0	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE004	4	組織判断	企業・組織の採用育成判断	0.48	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は重要職に絞り、中途は安保・供給網を増やす / 首都圏業務支援株式会社: 新卒は絞り、BCP・運用統制の中途を増やす / 関東広域ロジスティクス株式会社: 新卒は保全・運行管理候補に限定、中途でドライバー/保守を増やす	未来通信システム株式会社: 重要職偏重で選別不安が増えるが訓練で安心感も / 首都圏業務支援株式会社: 入口狭まり不安増、AI運用志向の動機づけが強まる / 関東広域ロジスティクス株式会社: 入口は狭まるが保全・運行DXの育成枠は残り、将来不安が強まる 現役側には 未来通信システム株式会社: 安保・BCP対応の負荷増、職務転換と再訓練が常態化 / 首都圏業務支援株式会社: 配置転換と監督負荷増、生活コスト不安で離職懸念 / 関東広域ロジスティクス株式会社: 燃料高と混乱対応で負荷増、AI/ロボ運用へ再学習と職務転換が進む
WE010	4	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮	ステップ4: 地政学リスクが74.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は39.9。	北朝鮮の間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE011	4	世界イベント	エネルギー価格ショック	0.33	全体	生活コスト↑ 子ども意向↓	エネルギー価格圧力	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが74.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は39.9。	エネルギー圧力が高く、家計と移動・電気代への不安が増える。
WE012	4	制度制約	財政制約による支援遅れの悪化	0.37	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ4: 地政学リスクが74.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は39.9。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。 直近で悪化しており、前よりも日常の判断に入り込みやすい。
FB006	5	社会反応	生活防衛シフト	0.26	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏24.3、生活防衛18.3、学習移行18.2	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
