イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.49	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は少数厳選、AI運用・監督の中途比率を上げる / 未来通信システム株式会社: 新卒は厳選し継続、安保・基盤系の中途を増やす / 東京湾岸工科専門学校: 教員は維持、新卒は実務経験者と二本立てで採る	首都圏業務支援株式会社: 採用枠縮小で不安増、AI運用スキルが必須化する / 未来通信システム株式会社: AI適応力が評価軸化し、配属で格差不安が増える / 東京湾岸工科専門学校: 不安下でも就職の見通しが増え、技能の選択幅が広がる 現役側には 首都圏業務支援株式会社: 監督・品質職へ転換圧力、再学習と負荷が増える / 未来通信システム株式会社: 再教育負担と役割再編が進み、評価の透明性要求が高まる / 東京湾岸工科専門学校: 企業側の再教育需要が増え、学び直し連携が広がる
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが62.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は51.2。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア、イスラエル	ステップ1: 地政学リスクが62.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は51.2。	北朝鮮、ロシア、イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
FB001	2	社会反応	生活防衛シフト	0.33	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	情報過敏24.0、生活防衛22.6、ケア5.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE002	2	組織判断	企業・組織の採用育成判断	0.50	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途は安保・基盤・危機対応を増枠 / 北関東精密加工株式会社: 新卒は最小確保、設備保全・品質の中途を厚めに採る / 首都圏業務支援株式会社: 新卒は少数維持。AI監督・品質管理の中途を重点増	未来通信システム株式会社: 厳選採用で不安増、AI運用・安保志向の学習が強まる / 北関東精密加工株式会社: 採用枠縮小で不安増、AI併用技能の習得機会は残る / 首都圏業務支援株式会社: 新卒枠が狭く不安増。AI活用前提の早期実務化が進む 現役側には 未来通信システム株式会社: 再学習圧力と不安増、危機対応スキルに評価が寄る / 北関東精密加工株式会社: 現場の変化抵抗と再訓練負担増、雇用は守られやすい / 首都圏業務支援株式会社: 再配置と再学習圧力増。不安拡散で離職・メンタル課題が増える
WE003	2	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが64.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.7。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE004	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが64.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.7。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
FB002	3	社会反応	生活防衛シフト	0.56	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	生活防衛35.2、情報過敏12.5、学習移行9.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE003	3	組織判断	企業・組織の採用育成判断	0.50	若者・現役世代	採用不安↑ 若手育成経路↓	組織運営LLM	日本	首都圏業務支援株式会社: 新卒は少数維持。危機対応BPO経験の中途を増やす / 未来通信システム株式会社: 新卒は厳選維持、中途は基盤・安保・危機対応を優先増枠 / 北関東精密加工株式会社: 新卒最小維持、設備保全・品質の中途を優先	首都圏業務支援株式会社: 安定志向が強まり、選別不安と心理負担が残る / 未来通信システム株式会社: 選抜と計算資源格差で進路不安が増え、安定志向が強まる / 北関東精密加工株式会社: 採用枠は狭いが技能＋AI適応で道筋は見える 現役側には 首都圏業務支援株式会社: 監査・品質職の負荷増。再学習と不安対応が常態化 / 未来通信システム株式会社: 危機対応負荷と再学習圧力が上がり、疲弊と転職が揺れる / 北関東精密加工株式会社: 配置転換と多能工化が加速、再学習負担が増える
WE005	3	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが70.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は44.8。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
