イベントID	想定時期	イベント名	原因クラス	要点	日本波及チャネル	発生確率_0to1	影響強度_0to1	持続期間ステップ	遅延効果ステップ	シナリオ感度	備考
F001	2028-2032	AGI知的労働代替の本格化	技術断層	知的定型業務の代替が急進し、初期キャリアの入口が縮小する	雇用不確実性,制度信頼,学習機会格差	0.85	0.82	10	2	加速高	再訓練と役割再設計がないとM/C停滞を増幅
F002	2028-2035	AI生産性偏在と超過利潤集中	技術断層	少数企業・少数国家に生産性利得が集中し、再分配圧力が増す	格差圧力,財政圧力,制度信頼	0.80	0.76	12	3	加速高	P10系の逆進性補正が効く検証対象
F003	2030-2040	教育制度の半自律化	制度不適合	学校が資格供給型から能力更新型へ移行できるかで格差が拡大/縮小	学習機会格差,希望指数,制度信頼	0.72	0.68	14	4	中位高	P09との相互作用が大きい
F004	2027-2038	中間スキル職の空洞化	技術断層	中間スキル職が減少し、高スキル/低賃金サービスへ二極化	雇用不確実性,生活コスト圧力	0.78	0.74	12	2	加速高	現役区分3,4,8に強く波及
F005	2032-2045	自律兵器・認知戦の常態化	地政学再編	戦争閾値が低下し、平時からの情報戦が国内感情を攪乱する	地政学リスク,SNS不安,制度信頼	0.65	0.72	16	1	加速中	E06拡張イベントとして実装しやすい
F006	2030-2042	半導体・計算資源ブロック化	地政学再編	計算資源と半導体供給が陣営化し、技術アクセス格差が拡大	計算資源制約,供給網不安,雇用不確実性	0.70	0.75	14	3	加速高	国家モデルCHN/TWN/USA/KOR連動
F007	2029-2040	グリーン転換コストの逆進化	資源・気候ショック	脱炭素移行コストが生活コストに先行転嫁される	生活コスト圧力,財政圧力	0.76	0.67	10	2	中位中	低所得層の不信増幅リスク
F008	2035-2050	気候災害の多発同時化	資源・気候ショック	複数地域で同時災害が発生し、保険・財政・供給網に複合負荷	供給網不安,生活コスト圧力,財政圧力	0.74	0.83	18	1	保守中	保守シナリオでも無視困難
F009	2030-2045	水・食料の地政学化	資源・気候ショック	水資源と穀物供給が外交カード化し、価格変動が常態化	生活コスト圧力,供給網不安	0.62	0.69	14	3	中位中	UKR/IND/中東要因の組合せで発火
F010	2028-2038	少子高齢化の臨界域到達（日本）	制度不適合	支える側人口減とケア需要増が同時進行し制度余力を圧迫	財政圧力,ケア負荷,制度信頼	0.90	0.78	20	0	全シナリオ高	JPNの基底イベント
F011	2033-2048	介護インフラの慢性不足	制度不適合	介護人材不足と家族介護負担増で離職連鎖が進む	ケア負荷,雇用不確実性,制度信頼	0.84	0.77	16	2	全シナリオ高	現役区分7の遷移に直結
