エージェントID	experience_employment_shock	experience_policy_success	experience_policy_failure	experience_care_burden	experience_housing_instability	experience_confidence_weight	過去経験メモ
W01	0	1	0	0	0	0.95	都市正規で制度成功体験が多い
W02	0	1	0	0	0	0.95	安定就業で政策受容が高い
W03	0	1	0	0	0	0.95	高所得安定でショックは限定
W04	0	1	0	1	0	1.00	医療職でケア負荷経験あり
W05	0	1	0	0	0	0.95	安定層で将来見通しが比較的高い
W06	0	1	0	1	0	1.00	地方正規で家族ケア経験あり
W07	0	1	0	0	0	0.95	インフラ職で制度接触が多い
W08	0	1	0	1	0	1.00	行政教育職で制度成功体験あり
W09	0	0	0	0	0	1.00	中位安定で政策接点は中程度
W10	0	1	0	1	0	1.00	医療福祉でケア責任が重い
W11	0	0	1	0	0	1.10	中小企業で制度不全感が残る
W12	0	0	1	0	1	1.10	サービス業で住居/所得圧力を経験
W13	1	0	1	0	0	1.15	地方中小で景気ショック経験あり
W14	1	0	1	0	1	1.15	観光系でショックと住居不安を経験
W15	1	0	1	0	1	1.20	有期契約で雇用ショック累積
W16	1	0	1	0	1	1.20	派遣で制度不信と住居不安が重なる
W17	1	0	1	0	1	1.25	季節就労で不安定経験が強い
W18	1	0	1	0	1	1.25	短時間非正規で生活不安が長期化
W19	1	0	1	1	0	1.15	自営で収入変動とケア負荷を経験
W20	1	0	1	1	0	1.20	地域サービス自営で疲労蓄積
W21	1	0	0	0	1	1.10	フリーランスで住居/収入変動を経験
W22	0	1	0	1	0	1.00	子育て支援の活用経験がある
W23	0	1	0	1	0	1.00	共働き調整で制度成功体験あり
W24	0	0	1	1	0	1.10	教育費圧力で制度不満が残る
W25	1	0	1	1	0	1.25	介護中核で就業制約が強い
W26	1	0	1	1	1	1.30	介護離職リスクと住居不安を経験
W27	1	0	1	1	1	1.30	介護中核かつ非正規で負荷最大
W28	1	1	0	1	0	1.05	再就職支援で一部成功体験あり
W29	1	0	1	0	0	1.15	学び直し中で不確実性が高い
W30	1	0	1	1	1	1.35	療養継続で複合的な失敗体験が蓄積
