step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
1	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	地政学・物価・雇用不安が先行し、家族形成は費用/手続き/ケア負担で詰まりやすい。	2	0.95	雇用不安	不安先払い+摩擦最小
2	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧70.6と公平感欠損52.5が高く、対象外反発と手続き疲れが注意層を固定化。	2	0.30	対象外反発	順序最適化+対象外補償
3	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が突出し、公平感欠損と政策疲労で離脱・反発が起点になっている	2	0.13	対象外反発	副作用先行の簡素化+説明再設計
4	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が極端に高く、公平感欠損と政策疲労が注意層を固定化している	2	0.57	政策疲労	副作用の見える化+処理速度の改善
5	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で、説明過多と処理滞留が政策疲労・公平感欠損を増幅し注意層が固定化。	2	0.14	政策疲労	要点化×順序再設計で信頼回復
6	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で、政策疲労と公平感欠損が固定化。供給制約下で待ち・格差が反発を増幅。	2	0.27	政策疲労	増やさず一本化+需給調整
7	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100と政策疲労63が支配的。支援の中身より「窓口/通知/異議処理」の摩擦が不信と対象外反発を増幅。	2	0.22	政策疲労	摩擦先減らし・公平感先行
8	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧100で監視懸念と通知過多が臨界、政策疲労と公平感欠損が反発を増幅。	2	0.20	政策疲労	通知最小化と反発遮断
9	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安下で副作用圧が突出し、説明負荷と対象外感が政策疲労を増幅している。	2	0.27	政策疲労	副作用可視化と負荷削減の同時補正
10	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が極端に高く、説明・通知の改善だけでは不信と公平感欠損が再燃。滞留と格差が二極化を増幅。	2	0.42	対象外反発	救済先行の滞留解消+格差補正
11	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安増幅下で副作用圧が最大化。滞留と対象外感が公平感欠損を増やし政策疲労を固定化。	2	0.42	政策疲労	滞留解消×対象外救済の二点集中
12	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大で制度不信が再燃。公平感欠損と政策疲労が拡大し注意層が固定化。	2	0.30	政策疲労	監査先行の軽量説明+負荷抑制運用
13	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	副作用圧が最大化し、SNS不安で誤解拡散・政策疲労と公平感欠損が固定化。	2	0.32	政策疲労	不安増幅下の負荷最小・公平先行
14	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	SNS不安で誤解と申立が増えやすく、政策疲労と公平感欠損が固定化しつつある	2	0.36	政策疲労	説明の圧縮と救済渋滞防止を先行
15	POLICY_PLANNER	policy_search_with_sustain_hope_family	gpt-5.2	注意層85.6%で副作用圧100・政策疲労73。新規追加より運用負荷と対象外反発の沈静化が先。	2	0.28	政策疲労	追加停止で負荷を下げつつ信頼回復
