候補ID	発生層	イベント名	想定時期	主な影響先	主な影響方向	採用優先度	説明
C01	世界国家層	エネルギー価格再上昇	短期から中期	現役世代・若者	生活コスト↑ 可処分所得↓ 子ども意向↓	高	資源価格や為替の影響で電気代・燃料費・物流費が上がり、家計余力を削る。
C02	世界国家層	半導体・クラウド供給制約	短期から中期	企業・教育・若者	AI利用格差↑ 学習機会格差↑ 制度信頼↓	中	計算資源や重要部品の不足により、AI導入の恩恵が大企業・都市部へ偏る。
C03	世界国家層	サイバー攻撃による行政・医療停止	短期から中期	現役世代・若者	制度信頼↓ メンタル負荷↑ 地域安定↓	高	行政手続き、医療予約、決済、物流が一時停止し、生活基盤への信頼が揺らぐ。
C04	日本国家層	社会保険料・税負担上昇	短期から長期	現役世代・若者	可処分所得↓ 制度信頼↓ 子ども意向↓	高	財政制約や高齢化対応により、手取りと将来期待が圧迫される。
C05	日本国家層	住宅ローン金利・家賃上昇	短期から中期	若者・子育て初期	住居安定↓ 子ども意向↓ 希望↓	高	住宅取得や賃貸継続の負担が増え、同棲・結婚・出産の時期が後ろ倒しになる。
C06	日本国家層	地方交通網縮小	中期	地方若者・ケア責任層	未来経路↓ ケア負担↑ 孤立↑	高	バス・鉄道・医療アクセスが弱まり、通学・就労・介護の選択肢が減る。
C07	日本国家層	教員不足・学校機能低下	短期から中期	在学層	未来経路↓ 自己効力感↓ 制度信頼↓	高	進路支援、部活動、個別支援が弱まり、家庭環境の差が進路差に直結しやすくなる。
C08	日本国家層	保育・学童受け皿不足	短期から中期	子育て初期・現役世代	可処分時間↓ 子ども意向↓ メンタル負荷↑	高	働きながら子どもを育てる経路が細り、二人目以降や出生実行に影響する。
C09	日本国家層	中小企業廃業波	中期	地方・若年就業	雇用安定↓ 地域役割↓ 希望↓	高	後継者不足や収益悪化で地域の雇用・技能継承・居場所が失われる。
C10	日本国家層	移民・外国人労働政策の揺れ	中期	現役世代・地域	地域摩擦↑ 労働力不足↑ 制度信頼変動	中	人手不足対策と社会統合の失敗が同時に起きると、地域の分断や不信が増える。
C11	日本国家層	防衛費・安全保障負担増	中期	現役世代・若者	税負担↑ 将来不安↑ 制度信頼変動	中	地政学リスクへの対応費用が、教育・子育て・地域投資との配分対立を生む。
C12	現役世代層	親世代の失業・収入低下	短期から中期	在学層・若者	進学選択肢↓ 奨学金負担↑ 希望↓	高	家庭の教育投資余力が下がり、若者の進路が本人能力以外で狭まる。
C13	現役世代層	介護離職の増加	中期から長期	現役世代・若者	家計余力↓ ケア責任↑ 子ども意向↓	高	親世代の就労継続が難しくなり、若者にも家族ケアが波及する。
C14	若者層	孤立・ひきこもり増加	短期から長期	若者	自己効力感↓ 希望↓ 社会参加↓	高	雇用不安やSNS悲観と重なると、社会参加からの長期離脱が増える。
C15	若者層	結婚・交際機会の縮小	中期	若者	子ども意向↓ 連帯感↓ 希望↓	中	所得・時間・地域移動・デジタル化により、家族形成の入口が細る。
C16	若者層	AI教育格差の拡大	短期から中期	在学層・低所得層	未来経路格差↑ 自己効力感差↑	高	AIを使いこなす層と使えない層の差が、学習・就職・創造機会に直結する。
C17	政策層	若者向け公共住宅拡充	中期	若者・子育て初期	住居安定↑ 子ども意向↑ 希望↑	中	住宅費の固定的圧迫を下げることで、長期計画を立てやすくする。
C18	政策層	介護ロボット・在宅支援普及	中期から長期	ケア責任層・現役世代	ケア負担↓ 可処分時間↑ 希望↑	中	技術導入が家族介護の時間制約を緩めるが、利用格差が残る可能性がある。
C19	政策層	教育から地域課題解決への接続義務化	中期	在学層・地域	自己効力感↑ 役割実感↑ 制度信頼↑	中	学校での学びを地域の実課題と接続し、努力が社会に効く実感を作る。
C20	政策層	社会持続活動の監査不全	中期	全体	制度信頼↓ nat信頼↓ 分断↑	高	nat制度が指標ハックや既得権化を起こした場合、構造持続介入そのものへの信頼が崩れる。
