step	scenario_mode	event_id	event_type	event_name	start_step	end_step	intensity_0to1	probability_0to1	target	direction	description
4	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
5	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
6	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
6	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
7	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
7	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
8	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
8	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
8	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
8	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
9	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
9	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
9	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
9	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
9	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
10	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
10	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
10	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
10	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
10	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
10	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
11	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
11	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
11	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
11	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
11	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
11	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
12	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
12	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
12	structure_birth_grant_package	E03	ショック	地政学リスク上昇	12	36	0.60	0.70	全体	将来予見性↓ 制度信頼↓	国際緊張の継続で将来見通しが悪化し、長期意思決定が先送りされる。
12	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
12	structure_birth_grant_package	E09	ショック	汎用ロボティクス普及による身体労働再編	12	60	0.62	0.75	製造・物流・小売・介護周辺	雇用安定↓ 生活コスト圧力↑	物流、製造、清掃、飲食、建設、介護補助などの身体労働でロボット導入が進み、地域産業と現場職の再編不安が広がる。
12	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
12	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
12	structure_birth_grant_package	P03	政策	社会持続活動nat報酬制度	12	83	0.85	1.00	全体	nat獲得↑ 希望↑	学校・地域・介護・防災・制度更新活動を報酬化し、役割喪失を防ぐ。
12	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
13	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
13	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
13	structure_birth_grant_package	E03	ショック	地政学リスク上昇	12	36	0.60	0.70	全体	将来予見性↓ 制度信頼↓	国際緊張の継続で将来見通しが悪化し、長期意思決定が先送りされる。
13	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
13	structure_birth_grant_package	E09	ショック	汎用ロボティクス普及による身体労働再編	12	60	0.62	0.75	製造・物流・小売・介護周辺	雇用安定↓ 生活コスト圧力↑	物流、製造、清掃、飲食、建設、介護補助などの身体労働でロボット導入が進み、地域産業と現場職の再編不安が広がる。
13	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
13	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
13	structure_birth_grant_package	P03	政策	社会持続活動nat報酬制度	12	83	0.85	1.00	全体	nat獲得↑ 希望↑	学校・地域・介護・防災・制度更新活動を報酬化し、役割喪失を防ぐ。
13	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
14	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
14	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
14	structure_birth_grant_package	E03	ショック	地政学リスク上昇	12	36	0.60	0.70	全体	将来予見性↓ 制度信頼↓	国際緊張の継続で将来見通しが悪化し、長期意思決定が先送りされる。
14	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
14	structure_birth_grant_package	E09	ショック	汎用ロボティクス普及による身体労働再編	12	60	0.62	0.75	製造・物流・小売・介護周辺	雇用安定↓ 生活コスト圧力↑	物流、製造、清掃、飲食、建設、介護補助などの身体労働でロボット導入が進み、地域産業と現場職の再編不安が広がる。
14	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
14	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
14	structure_birth_grant_package	P03	政策	社会持続活動nat報酬制度	12	83	0.85	1.00	全体	nat獲得↑ 希望↑	学校・地域・介護・防災・制度更新活動を報酬化し、役割喪失を防ぐ。
14	structure_birth_grant_package	P05	政策	地域ケア就労の賃金底上げ	14	83	0.70	1.00	ケア責任層・地方	雇用安定↑ 制度信頼↑	ケア活動を社会基盤労働として扱い、賃金と社会的評価を引き上げる。
14	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
15	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
15	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
15	structure_birth_grant_package	E03	ショック	地政学リスク上昇	12	36	0.60	0.70	全体	将来予見性↓ 制度信頼↓	国際緊張の継続で将来見通しが悪化し、長期意思決定が先送りされる。
15	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
15	structure_birth_grant_package	E09	ショック	汎用ロボティクス普及による身体労働再編	12	60	0.62	0.75	製造・物流・小売・介護周辺	雇用安定↓ 生活コスト圧力↑	物流、製造、清掃、飲食、建設、介護補助などの身体労働でロボット導入が進み、地域産業と現場職の再編不安が広がる。
15	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
15	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
15	structure_birth_grant_package	P03	政策	社会持続活動nat報酬制度	12	83	0.85	1.00	全体	nat獲得↑ 希望↑	学校・地域・介護・防災・制度更新活動を報酬化し、役割喪失を防ぐ。
15	structure_birth_grant_package	P04	政策	子育て初期一時金1000万円	15	45	0.75	1.00	子育て初期・結婚前後	子ども意向↑ 出生実行↑	出生前後の初期費用を大幅に緩和するが、短期の財政負荷と逆選択リスクがある。
15	structure_birth_grant_package	P05	政策	地域ケア就労の賃金底上げ	14	83	0.70	1.00	ケア責任層・地方	雇用安定↑ 制度信頼↑	ケア活動を社会基盤労働として扱い、賃金と社会的評価を引き上げる。
15	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
15	structure_birth_grant_package	BP01	政策	構造持続型出産一時金の上乗せ	15	60	0.82	1.00	子どもを望む家族形成層・将来家族形成層	子ども意向↑ 家計余力↑ 制度信頼↑	出生実績への成果報酬ではなく、望む人が子どもを迎えられる条件を整える目的で、妊娠・出産・初期育児の実費と所得喪失を一時金で緩衝する。
15	structure_birth_grant_package	BP02	政策	産後休息・代替ケア保障	15	83	0.78	1.00	妊娠出産期・子育て初期・ケア責任層	時間余力↑ メンタル負荷↓ 出生圧力リスク↓	産後の休息、夜間支援、代替ケア、家事育児支援を公的に確保し、家族責任の固定化や母親だけへの負担集中を防ぐ。
15	structure_birth_grant_package	BP05	政策	出生非強制・監査ガードレール	15	83	0.68	1.00	全体	制度信頼↑ 反発↓ moral injury↓	非婚・非出産・単身・養育しない選択を不利益にせず、出生数ではなく選択可能条件を評価対象にする。若者の「産ませたいだけでは」という反発を監査する。
16	structure_birth_grant_package	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
16	structure_birth_grant_package	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
16	structure_birth_grant_package	E03	ショック	地政学リスク上昇	12	36	0.60	0.70	全体	将来予見性↓ 制度信頼↓	国際緊張の継続で将来見通しが悪化し、長期意思決定が先送りされる。
16	structure_birth_grant_package	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
16	structure_birth_grant_package	E09	ショック	汎用ロボティクス普及による身体労働再編	12	60	0.62	0.75	製造・物流・小売・介護周辺	雇用安定↓ 生活コスト圧力↑	物流、製造、清掃、飲食、建設、介護補助などの身体労働でロボット導入が進み、地域産業と現場職の再編不安が広がる。
16	structure_birth_grant_package	P01	政策	若者住居安定パッケージ	10	83	0.70	1.00	非正規・無業・若年就業	住居安定↑ 希望↑	家賃補助・保証人代替・転居支援を組み合わせ、居住不安を緩和する。
16	structure_birth_grant_package	P02	政策	奨学金負担軽減・所得連動返済	8	83	0.80	1.00	在学層・負債高層	可処分所得↑ 子ども意向↑	返済負担の平準化と減免を導入し、将来投資の先送りを抑制する。
16	structure_birth_grant_package	P03	政策	社会持続活動nat報酬制度	12	83	0.85	1.00	全体	nat獲得↑ 希望↑	学校・地域・介護・防災・制度更新活動を報酬化し、役割喪失を防ぐ。
16	structure_birth_grant_package	P04	政策	子育て初期一時金1000万円	15	45	0.75	1.00	子育て初期・結婚前後	子ども意向↑ 出生実行↑	出生前後の初期費用を大幅に緩和するが、短期の財政負荷と逆選択リスクがある。
16	structure_birth_grant_package	P05	政策	地域ケア就労の賃金底上げ	14	83	0.70	1.00	ケア責任層・地方	雇用安定↑ 制度信頼↑	ケア活動を社会基盤労働として扱い、賃金と社会的評価を引き上げる。
16	structure_birth_grant_package	P06	政策	学び直し・移行雇用保証	16	83	0.78	1.00	非正規・無業・自動化影響層	雇用安定↑ 自己効力感↑	訓練と実務移行をセットで保証し、自動化ショックからの回復経路を提供する。
16	structure_birth_grant_package	P08	政策	若年メンタルヘルス即時アクセス	9	83	0.72	1.00	高負荷層	メンタル負荷↓ 希望↑	心理支援への待機時間と費用障壁を下げ、長期離脱を防ぐ。
