カテゴリ	項目名	採用理由	主な観測ポイント	主に効く状態遷移	主な関連イベント	結果の解釈例
人口表現	人口重み_パーセント	30体でも実人口構成へ戻すため	政策効果の人口寄与	全遷移	全イベント	重み付きで改善していれば社会全体で有効と解釈できる
人口表現	発信影響重み	SNSや地域での波及力差を再現するため	感情・信頼の二次波及	間接的にM1→M2,C1→C2	E06,P03,P09	少数の高影響層で空気が変わるかを見られる
経済基盤	世帯所得階層	結婚・出生の実行制約に直結するため	M2→M4の成立率,C1→C2着手率	M2→M4,C1→C2	E02,E05,P04,P10	希望はあるのに未達なら所得制約が主要因と判断できる
経済基盤	雇用安定度	将来予見可能性を決める中核指標だから	停滞状態M3/C3への流入	M2→M3,C2→C3	E01,E05,P06	雇用安定改善で停滞減なら雇用政策がボトルネック解消に効いた
経済基盤	住居形態	結婚・子育て実行の固定費と安定性を表すため	結婚行動の開始確率	M1→M2,C1→C2	E02,P01,P07	住居支援後にM1→M2が伸びれば効果の説明が明確
時間制約	ケア責任	育児・介護の時間制約を直接表現するため	希望と実行の乖離	M2→M3,C2→C3	P05,P08,P03	希望維持でも実行停滞ならケア負荷が阻害要因と分かる
心理基盤	希望指数	未来選好の一次指標として必要だから	希望変化と行動開始の連動	M1→M2,C1→C2	E03,E06,P03,P08	希望が上がるのに未達なら経済制約が残っていると解釈できる
心理基盤	制度信頼	制度介入が機能する前提条件だから	介入受容性と継続性	M1→M2,C1→C2,C2→C3	E03,P03,P10	信頼回復が先行すると後追いで行動遷移が改善しやすい
心理基盤	自己効力感	行動開始の内的エンジンを表すため	未着手の長期化有無	M1→M2,C1→C2	P06,P09,P08	自己効力感が低い層だけ改善しないなら支援設計の再調整が必要
状態設計	結婚状態M0-M4	希望・行動・未達・達成を排他的に分けるため	どこで詰まるかの可視化	M1→M2,M2→M4,M2→M3	全イベント	結婚意向増でもM2→M4が伸びなければ実装条件不足を示す
状態設計	出産状態C0-C6	希望から出生までの工程を分解するため	希望と出生の乖離要因	C1→C2,C2→C4,C2→C3,C4→C5	全イベント	妊活開始は増えるがC2→C4が弱いなら医療アクセス改善が必要
状態設計	意図しない妊娠C6	「何も考えずにできる」を独立枝で扱うため	意図と結果の非一致	C系→C6	E02,P04,P08	C6増は支援不足や教育不足のシグナルとして扱える
遷移確率	M1からM2遷移確率_年次	結婚希望から行動への壁を測るため	行動開始率	M1→M2	P01,P03,P06	改善すれば心理・住居・雇用の入口施策が効いている
遷移確率	M2からM4遷移確率_年次	行動中から成立への実行力を見るため	成約率	M2→M4	P01,P04,P10	ここが弱い場合はコストや制度設計が実行段階で不足
遷移確率	M2からM3遷移確率_年次	停滞発生率を直接測るため	未達層の増減	M2→M3	E02,E05,P06	停滞減少が確認できれば制度設計の実効性を主張しやすい
遷移確率	C1からC2遷移確率_年次	子ども希望から妊活着手への壁を見るため	妊活着手率	C1→C2	P04,P03,P08	希望だけで終わらず行動に移せたかを説明できる
遷移確率	C2からC4遷移確率_年次	妊活成果の成立率を捉えるため	妊娠成立率	C2→C4	P04,P08	ここが低い場合は医療アクセスや時間確保が課題
遷移確率	C2からC3遷移確率_年次	妊活停滞・断念を可視化するため	断念率	C2→C3	E02,E05,P05	停滞増なら経済・時間・心理の複合負荷が示唆される
遷移確率	C4からC5遷移確率_年次	妊娠から出生までの到達を追うため	出生到達率	C4→C5	P04,P08	到達率改善は医療・支援の最終工程が機能している証拠
制度設計	nat獲得機会変化	経済活動以外の社会維持活動を報酬化する核だから	役割喪失の回避	間接的にM/C全遷移	P03,P10,P05	natが効いて希望と信頼が同時改善なら文明OS仮説を支持
設計品質	分類コード	層ごとの政策感度差を保持するため	効く層/効かない層の識別	全遷移	全イベント	平均改善だけでなく取り残し層を特定できる
設計品質	初期評価分類/主感情	初期状態の心理分布を明示するため	感情地図の遷移方向	間接的にM/C全遷移	E06,P08,P03	危険層が注意・中立へ移るかで政策の社会安定効果を示せる
